Employee_ID,Message,Word_Count,Sentiment_Score,Employee_Role,Department,Stress_Level
68,"Slightly stressed, but I can handle it.",7,-0.17,Sales Executive,Marketing,Medium
69,Workload is manageable but challenging.,5,0.5,HR Specialist,Sales,Medium
70,Loving the collaborative environment.,4,0.6,Data Analyst,Marketing,Low
71,Feeling great about my progress.,5,0.8,Sales Executive,HR,Low
72,Workload is manageable but challenging.,5,0.5,Sales Executive,HR,Medium
73,Loving the collaborative environment.,4,0.6,Manager,Finance,Low
74,This deadline is impossible to meet.,6,-0.67,Data Analyst,HR,High
75,I need urgent help with my tasks!,7,0.0,Manager,IT,High
76,I can't handle this pressure anymore!,6,0.0,Manager,Marketing,High
77,Feeling extremely stressed out.,4,-0.12,Sales Executive,IT,High
78,Feeling a bit overwhelmed.,4,0.0,Sales Executive,Marketing,Medium
79,Too many meetings today.,4,0.5,Software Engineer,Sales,Medium
80,Need a short break to refocus.,6,0.0,Data Analyst,Sales,Medium
81,"Struggling to keep up, but staying positive.",7,0.23,Sales Executive,IT,Medium
82,Workload is manageable but challenging.,5,0.5,Data Analyst,Sales,Medium
83,Workload is manageable but challenging.,5,0.5,Software Engineer,Sales,Medium
84,Multitasking a lot today.,4,0.0,HR Specialist,IT,Medium
85,"Struggling to keep up, but staying positive.",7,0.23,HR Specialist,IT,Medium
86,Great job on the project!,5,1.0,HR Specialist,Finance,Low
87,Enjoying my work today!,4,0.62,Sales Executive,Finance,Low
88,Excited for the team outing!,5,0.47,Sales Executive,Sales,Low
89,Feeling productive today.,3,0.0,HR Specialist,Finance,Low
90,Feeling great about my progress.,5,0.8,Manager,Marketing,Low
91,Workload is manageable but challenging.,5,0.5,Manager,Marketing,Medium
92,Loving the collaborative environment.,4,0.6,Sales Executive,Finance,Low
93,Work is going smoothly.,4,0.4,Manager,Sales,Low
94,"Slightly stressed, but I can handle it.",7,-0.17,Sales Executive,IT,Medium
95,Feeling productive today.,3,0.0,Sales Executive,HR,Low
96,I feel like quitting.,4,0.0,HR Specialist,IT,High
97,Feeling productive today.,3,0.0,HR Specialist,HR,Low
98,I can't handle this pressure anymore!,6,0.0,Manager,Finance,High
99,Multitasking a lot today.,4,0.0,Data Analyst,HR,Medium
100,Had a good meeting with the team.,7,0.7,HR Specialist,Marketing,Low
101,Feeling extremely stressed out.,4,-0.12,HR Specialist,Sales,High
102,Enjoying my work today!,4,0.62,Software Engineer,Sales,Low
103,Excited for the team outing!,5,0.47,Software Engineer,Sales,Low
104,Feeling productive today.,3,0.0,Sales Executive,Sales,Low
105,Feeling productive today.,3,0.0,Sales Executive,HR,Low
106,Burned out and exhausted.,4,-0.4,Manager,Sales,High
107,Had a good meeting with the team.,7,0.7,Manager,Marketing,Low
108,Excited for the team outing!,5,0.47,HR Specialist,Sales,Low
109,"Slightly stressed, but I can handle it.",7,-0.17,Sales Executive,Marketing,Medium
110,Need a short break to refocus.,6,0.0,Data Analyst,Finance,Medium
111,Enjoying my work today!,4,0.62,Data Analyst,Finance,Low
112,Great job on the project!,5,1.0,HR Specialist,IT,Low
113,Feeling extremely stressed out.,4,-0.12,HR Specialist,Sales,High
114,Multitasking a lot today.,4,0.0,Software Engineer,Sales,Medium
115,I need urgent help with my tasks!,7,0.0,Sales Executive,Finance,High
116,Enjoying my work today!,4,0.62,Sales Executive,Finance,Low
117,Feeling productive today.,3,0.0,Data Analyst,Marketing,Low
118,Loving the collaborative environment.,4,0.6,Manager,HR,Low
119,Loving the collaborative environment.,4,0.6,HR Specialist,Finance,Low
120,Feeling productive today.,3,0.0,Software Engineer,IT,Low
121,Excited for the team outing!,5,0.47,Software Engineer,HR,Low
122,Feeling great about my progress.,5,0.8,HR Specialist,Sales,Low
123,"Struggling to keep up, but staying positive.",7,0.23,HR Specialist,IT,Medium
124,"Slightly stressed, but I can handle it.",7,-0.17,Manager,Sales,Medium
125,Too many meetings today.,4,0.5,Sales Executive,IT,Medium
126,Excited for the team outing!,5,0.47,Software Engineer,Marketing,Low
127,Looking forward to the weekend!,5,0.0,HR Specialist,Finance,Low
128,Need a short break to refocus.,6,0.0,Data Analyst,Marketing,Medium
129,Feeling great about my progress.,5,0.8,Data Analyst,IT,Low
130,Feeling a bit overwhelmed.,4,0.0,HR Specialist,HR,Medium
131,Feeling productive today.,3,0.0,Sales Executive,Sales,Low
132,This deadline is impossible to meet.,6,-0.67,Sales Executive,Sales,High
133,I can't handle this pressure anymore!,6,0.0,Software Engineer,Marketing,High
134,I can't handle this pressure anymore!,6,0.0,HR Specialist,Marketing,High
135,Great job on the project!,5,1.0,Manager,Finance,Low
136,I need urgent help with my tasks!,7,0.0,Sales Executive,HR,High
137,Work is going smoothly.,4,0.4,Software Engineer,Marketing,Low
138,"Overloaded with work, this is too much!",7,0.25,Manager,Sales,High
139,Need a short break to refocus.,6,0.0,Software Engineer,HR,Medium
140,This deadline is impossible to meet.,6,-0.67,Sales Executive,Finance,High
141,Deadlines are approaching fast.,4,0.1,Data Analyst,HR,Medium
142,I feel like quitting.,4,0.0,Data Analyst,Finance,High
143,Great job on the project!,5,1.0,Manager,Marketing,Low
144,"Struggling to keep up, but staying positive.",7,0.23,Manager,IT,Medium
145,Had a good meeting with the team.,7,0.7,Data Analyst,Finance,Low
146,Multitasking a lot today.,4,0.0,Data Analyst,IT,Medium
147,Had a good meeting with the team.,7,0.7,HR Specialist,HR,Low
148,Looking forward to the weekend!,5,0.0,Manager,HR,Low
149,Had a good meeting with the team.,7,0.7,Software Engineer,Marketing,Low
150,Work is going smoothly.,4,0.4,Data Analyst,IT,Low
151,Excited for the team outing!,5,0.47,Manager,IT,Low
152,Loving the collaborative environment.,4,0.6,Sales Executive,Finance,Low
153,"Slightly stressed, but I can handle it.",7,-0.17,Software Engineer,Sales,Medium
154,Deadlines are approaching fast.,4,0.1,Software Engineer,HR,Medium
155,Excited for the team outing!,5,0.47,Manager,IT,Low
156,"Slightly stressed, but I can handle it.",7,-0.17,Data Analyst,Sales,Medium
157,Burned out and exhausted.,4,-0.4,Software Engineer,HR,High
158,Too many meetings today.,4,0.5,Data Analyst,Finance,Medium
159,Need a short break to refocus.,6,0.0,HR Specialist,Sales,Medium
160,Deadlines are approaching fast.,4,0.1,Software Engineer,Finance,Medium
161,Feeling great about my progress.,5,0.8,Software Engineer,IT,Low
162,Burned out and exhausted.,4,-0.4,HR Specialist,HR,High
163,Had a good meeting with the team.,7,0.7,Sales Executive,HR,Low
164,Excited for the team outing!,5,0.47,Sales Executive,HR,Low
165,Looking forward to the weekend!,5,0.0,Software Engineer,HR,Low
166,Work is going smoothly.,4,0.4,Sales Executive,IT,Low
167,Too many meetings today.,4,0.5,Data Analyst,Finance,Medium
168,Feeling productive today.,3,0.0,Data Analyst,IT,Low
169,Burned out and exhausted.,4,-0.4,HR Specialist,Marketing,High
170,Enjoying my work today!,4,0.62,Software Engineer,Marketing,Low
171,Need a short break to refocus.,6,0.0,HR Specialist,IT,Medium
172,Feeling productive today.,3,0.0,Data Analyst,HR,Low
173,This deadline is impossible to meet.,6,-0.67,HR Specialist,HR,High
174,Looking forward to the weekend!,5,0.0,Sales Executive,Marketing,Low
175,No work-life balance at all!,5,0.0,Software Engineer,HR,High
176,Had a good meeting with the team.,7,0.7,Manager,Sales,Low
177,I can't handle this pressure anymore!,6,0.0,HR Specialist,Marketing,High
178,Had a good meeting with the team.,7,0.7,Sales Executive,IT,Low
179,Had a good meeting with the team.,7,0.7,Manager,Finance,Low
180,Looking forward to the weekend!,5,0.0,Software Engineer,HR,Low
181,Feeling great about my progress.,5,0.8,Sales Executive,IT,Low
182,Looking forward to the weekend!,5,0.0,HR Specialist,HR,Low
183,Loving the collaborative environment.,4,0.6,HR Specialist,HR,Low
184,Work is going smoothly.,4,0.4,Sales Executive,IT,Low
185,Had a good meeting with the team.,7,0.7,Manager,Marketing,Low
186,Work is going smoothly.,4,0.4,HR Specialist,Marketing,Low
187,Too many meetings today.,4,0.5,HR Specialist,Marketing,Medium
188,Multitasking a lot today.,4,0.0,Software Engineer,Marketing,Medium
189,Enjoying my work today!,4,0.62,Sales Executive,IT,Low
190,"Slightly stressed, but I can handle it.",7,-0.17,Sales Executive,IT,Medium
191,Feeling a bit overwhelmed.,4,0.0,Sales Executive,Finance,Medium
192,I feel like quitting.,4,0.0,Software Engineer,HR,High
193,Enjoying my work today!,4,0.62,Data Analyst,IT,Low
194,Feeling a bit overwhelmed.,4,0.0,Software Engineer,Finance,Medium
195,Looking forward to the weekend!,5,0.0,Software Engineer,Marketing,Low
196,Had a good meeting with the team.,7,0.7,Data Analyst,HR,Low
197,Burned out and exhausted.,4,-0.4,HR Specialist,Finance,High
198,Excited for the team outing!,5,0.47,HR Specialist,HR,Low
199,Deadlines are approaching fast.,4,0.1,HR Specialist,Finance,Medium
200,Had a good meeting with the team.,7,0.7,Manager,HR,Low
201,"Struggling to keep up, but staying positive.",7,0.23,Software Engineer,Sales,Medium
202,Need a short break to refocus.,6,0.0,Data Analyst,Finance,Medium
203,Had a good meeting with the team.,7,0.7,Sales Executive,Marketing,Low
204,Loving the collaborative environment.,4,0.6,Software Engineer,Finance,Low
205,Feeling extremely stressed out.,4,-0.12,Sales Executive,Finance,High
206,I need urgent help with my tasks!,7,0.0,Data Analyst,Marketing,High
207,Looking forward to the weekend!,5,0.0,Data Analyst,Finance,Low
208,Excited for the team outing!,5,0.47,Data Analyst,Finance,Low
209,Had a good meeting with the team.,7,0.7,HR Specialist,IT,Low
210,Workload is manageable but challenging.,5,0.5,Data Analyst,IT,Medium
211,Feeling productive today.,3,0.0,HR Specialist,HR,Low
212,I can't handle this pressure anymore!,6,0.0,Data Analyst,Marketing,High
213,Work is going smoothly.,4,0.4,Sales Executive,Sales,Low
214,Feeling great about my progress.,5,0.8,Software Engineer,HR,Low
215,Feeling productive today.,3,0.0,Manager,Sales,Low
216,I need urgent help with my tasks!,7,0.0,Data Analyst,Sales,High
217,"Slightly stressed, but I can handle it.",7,-0.17,Manager,Sales,Medium
218,Multitasking a lot today.,4,0.0,Software Engineer,IT,Medium
219,Enjoying my work today!,4,0.62,Manager,Sales,Low
220,I need urgent help with my tasks!,7,0.0,Software Engineer,HR,High
221,Feeling great about my progress.,5,0.8,Sales Executive,Finance,Low
222,Feeling productive today.,3,0.0,HR Specialist,IT,Low
223,"Too much work, not enough time.",6,0.1,Sales Executive,Finance,High
224,Enjoying my work today!,4,0.62,Data Analyst,HR,Low
225,Feeling extremely stressed out.,4,-0.12,Software Engineer,Finance,High
226,Multitasking a lot today.,4,0.0,Sales Executive,Finance,Medium
227,Workload is manageable but challenging.,5,0.5,HR Specialist,IT,Medium
228,Excited for the team outing!,5,0.47,Manager,Marketing,Low
229,Feeling productive today.,3,0.0,Manager,Finance,Low
230,Enjoying my work today!,4,0.62,Sales Executive,Finance,Low
231,I feel like quitting.,4,0.0,Data Analyst,HR,High
232,Deadlines are approaching fast.,4,0.1,Data Analyst,IT,Medium
233,Enjoying my work today!,4,0.62,HR Specialist,Finance,Low
234,Feeling a bit overwhelmed.,4,0.0,HR Specialist,Sales,Medium
235,Feeling productive today.,3,0.0,Sales Executive,Marketing,Low
236,"Overloaded with work, this is too much!",7,0.25,Software Engineer,Sales,High
237,Had a good meeting with the team.,7,0.7,Manager,Finance,Low
238,Loving the collaborative environment.,4,0.6,HR Specialist,HR,Low
239,Work is going smoothly.,4,0.4,HR Specialist,HR,Low
240,"Struggling to keep up, but staying positive.",7,0.23,Software Engineer,HR,Medium
241,Excited for the team outing!,5,0.47,HR Specialist,IT,Low
242,Feeling great about my progress.,5,0.8,Software Engineer,Finance,Low
243,Deadlines are approaching fast.,4,0.1,Manager,IT,Medium
244,Great job on the project!,5,1.0,Data Analyst,Sales,Low
245,Loving the collaborative environment.,4,0.6,Sales Executive,Finance,Low
246,Loving the collaborative environment.,4,0.6,HR Specialist,IT,Low
247,"Slightly stressed, but I can handle it.",7,-0.17,Software Engineer,IT,Medium
248,Feeling great about my progress.,5,0.8,Software Engineer,IT,Low
249,No work-life balance at all!,5,0.0,Software Engineer,IT,High
250,Looking forward to the weekend!,5,0.0,HR Specialist,IT,Low
251,Excited for the team outing!,5,0.47,HR Specialist,IT,Low
252,"Too much work, not enough time.",6,0.1,Manager,Sales,High
253,Looking forward to the weekend!,5,0.0,HR Specialist,Finance,Low
254,Multitasking a lot today.,4,0.0,HR Specialist,Sales,Medium
255,This deadline is impossible to meet.,6,-0.67,Software Engineer,Marketing,High
256,Work is going smoothly.,4,0.4,HR Specialist,Finance,Low
257,Great job on the project!,5,1.0,Software Engineer,Marketing,Low
258,I need urgent help with my tasks!,7,0.0,Software Engineer,Marketing,High
259,"Slightly stressed, but I can handle it.",7,-0.17,Data Analyst,IT,Medium
260,Feeling a bit overwhelmed.,4,0.0,HR Specialist,Sales,Medium
261,Excited for the team outing!,5,0.47,Data Analyst,Finance,Low
262,"Overloaded with work, this is too much!",7,0.25,Manager,HR,High
263,Feeling great about my progress.,5,0.8,Manager,HR,Low
264,Great job on the project!,5,1.0,Data Analyst,IT,Low
265,Too many meetings today.,4,0.5,Manager,IT,Medium
266,Burned out and exhausted.,4,-0.4,Software Engineer,IT,High
267,Looking forward to the weekend!,5,0.0,HR Specialist,HR,Low
268,Excited for the team outing!,5,0.47,Data Analyst,Finance,Low
269,Multitasking a lot today.,4,0.0,Manager,Finance,Medium
270,Feeling extremely stressed out.,4,-0.12,HR Specialist,Sales,High
271,Feeling productive today.,3,0.0,Sales Executive,Finance,Low
272,I feel like quitting.,4,0.0,Sales Executive,Marketing,High
273,Excited for the team outing!,5,0.47,Sales Executive,Marketing,Low
274,I feel like quitting.,4,0.0,Software Engineer,Marketing,High
275,I can't handle this pressure anymore!,6,0.0,Sales Executive,Finance,High
276,Feeling great about my progress.,5,0.8,Software Engineer,Finance,Low
277,"Slightly stressed, but I can handle it.",7,-0.17,Manager,Finance,Medium
278,Looking forward to the weekend!,5,0.0,Data Analyst,Finance,Low
279,Need a short break to refocus.,6,0.0,Data Analyst,Finance,Medium
280,Excited for the team outing!,5,0.47,Data Analyst,HR,Low
281,"Too much work, not enough time.",6,0.1,Sales Executive,Marketing,High
282,Feeling a bit overwhelmed.,4,0.0,Software Engineer,Marketing,Medium
283,Had a good meeting with the team.,7,0.7,Software Engineer,Finance,Low
284,Excited for the team outing!,5,0.47,Software Engineer,HR,Low
285,I feel like quitting.,4,0.0,Data Analyst,Marketing,High
286,This deadline is impossible to meet.,6,-0.67,Manager,HR,High
287,Had a good meeting with the team.,7,0.7,HR Specialist,HR,Low
288,Need a short break to refocus.,6,0.0,Manager,Marketing,Medium
289,Loving the collaborative environment.,4,0.6,Software Engineer,HR,Low
290,Looking forward to the weekend!,5,0.0,Software Engineer,Finance,Low
291,Looking forward to the weekend!,5,0.0,Manager,Finance,Low
292,Great job on the project!,5,1.0,Manager,Finance,Low
293,Feeling great about my progress.,5,0.8,Data Analyst,IT,Low
294,Enjoying my work today!,4,0.62,Data Analyst,Sales,Low
295,Loving the collaborative environment.,4,0.6,HR Specialist,Sales,Low
296,Looking forward to the weekend!,5,0.0,Data Analyst,HR,Low
297,Too many meetings today.,4,0.5,HR Specialist,IT,Medium
298,Work is going smoothly.,4,0.4,HR Specialist,Finance,Low
299,Multitasking a lot today.,4,0.0,Software Engineer,Sales,Medium
300,Loving the collaborative environment.,4,0.6,Data Analyst,HR,Low
301,Excited for the team outing!,5,0.47,Software Engineer,Marketing,Low
302,"Too much work, not enough time.",6,0.1,Data Analyst,HR,High
303,Looking forward to the weekend!,5,0.0,Data Analyst,IT,Low
304,"Slightly stressed, but I can handle it.",7,-0.17,Software Engineer,IT,Medium
305,"Struggling to keep up, but staying positive.",7,0.23,HR Specialist,IT,Medium
306,"Slightly stressed, but I can handle it.",7,-0.17,Sales Executive,Marketing,Medium
307,Excited for the team outing!,5,0.47,HR Specialist,Sales,Low
308,Work is going smoothly.,4,0.4,Software Engineer,Finance,Low
309,Deadlines are approaching fast.,4,0.1,Sales Executive,Finance,Medium
310,"Too much work, not enough time.",6,0.1,Sales Executive,HR,High
311,Feeling great about my progress.,5,0.8,Sales Executive,Sales,Low
312,"Overloaded with work, this is too much!",7,0.25,Software Engineer,HR,High
313,Work is going smoothly.,4,0.4,HR Specialist,Marketing,Low
314,Excited for the team outing!,5,0.47,Data Analyst,Sales,Low
315,Too many meetings today.,4,0.5,HR Specialist,Sales,Medium
316,This deadline is impossible to meet.,6,-0.67,Manager,Finance,High
317,Feeling productive today.,3,0.0,Software Engineer,Finance,Low
318,Feeling productive today.,3,0.0,Manager,IT,Low
319,Need a short break to refocus.,6,0.0,Software Engineer,Finance,Medium
320,Enjoying my work today!,4,0.62,Manager,Sales,Low
321,Need a short break to refocus.,6,0.0,Manager,Finance,Medium
322,Looking forward to the weekend!,5,0.0,Software Engineer,Sales,Low
323,Need a short break to refocus.,6,0.0,HR Specialist,Finance,Medium
324,Excited for the team outing!,5,0.47,HR Specialist,Finance,Low
325,I feel like quitting.,4,0.0,Manager,HR,High
326,Looking forward to the weekend!,5,0.0,HR Specialist,Finance,Low
327,I feel like quitting.,4,0.0,Software Engineer,HR,High
328,Feeling great about my progress.,5,0.8,Manager,IT,Low
329,Work is going smoothly.,4,0.4,Sales Executive,Sales,Low
330,No work-life balance at all!,5,0.0,Manager,Finance,High
331,Great job on the project!,5,1.0,Sales Executive,Finance,Low
332,Feeling great about my progress.,5,0.8,Sales Executive,Marketing,Low
333,Too many meetings today.,4,0.5,Manager,Sales,Medium
334,Looking forward to the weekend!,5,0.0,Software Engineer,Marketing,Low
335,Looking forward to the weekend!,5,0.0,HR Specialist,HR,Low
336,Had a good meeting with the team.,7,0.7,HR Specialist,Finance,Low
337,Work is going smoothly.,4,0.4,Sales Executive,HR,Low
338,Deadlines are approaching fast.,4,0.1,Software Engineer,IT,Medium
339,Looking forward to the weekend!,5,0.0,Software Engineer,IT,Low
340,I need urgent help with my tasks!,7,0.0,Software Engineer,Marketing,High
341,Multitasking a lot today.,4,0.0,Manager,Marketing,Medium
342,Great job on the project!,5,1.0,Manager,HR,Low
343,Work is going smoothly.,4,0.4,Sales Executive,IT,Low
344,"Overloaded with work, this is too much!",7,0.25,Sales Executive,Finance,High
345,Enjoying my work today!,4,0.62,Software Engineer,Sales,Low
346,Work is going smoothly.,4,0.4,Software Engineer,Marketing,Low
347,Great job on the project!,5,1.0,HR Specialist,Marketing,Low
348,"Slightly stressed, but I can handle it.",7,-0.17,Manager,Sales,Medium
349,Excited for the team outing!,5,0.47,Sales Executive,Finance,Low
350,I need urgent help with my tasks!,7,0.0,Sales Executive,IT,High
351,Looking forward to the weekend!,5,0.0,Data Analyst,Marketing,Low
352,Had a good meeting with the team.,7,0.7,Software Engineer,HR,Low
353,No work-life balance at all!,5,0.0,Data Analyst,IT,High
354,Excited for the team outing!,5,0.47,Software Engineer,Finance,Low
355,Feeling productive today.,3,0.0,Data Analyst,HR,Low
356,Feeling a bit overwhelmed.,4,0.0,Sales Executive,HR,Medium
357,"Struggling to keep up, but staying positive.",7,0.23,HR Specialist,HR,Medium
358,Looking forward to the weekend!,5,0.0,Sales Executive,Finance,Low
359,Too many meetings today.,4,0.5,HR Specialist,Sales,Medium
360,I feel like quitting.,4,0.0,Software Engineer,Sales,High
361,Too many meetings today.,4,0.5,Data Analyst,IT,Medium
362,Deadlines are approaching fast.,4,0.1,Sales Executive,Marketing,Medium
363,Had a good meeting with the team.,7,0.7,Software Engineer,Finance,Low
364,Looking forward to the weekend!,5,0.0,Data Analyst,Marketing,Low
365,This deadline is impossible to meet.,6,-0.67,Data Analyst,Marketing,High
366,Work is going smoothly.,4,0.4,Manager,HR,Low
367,"Slightly stressed, but I can handle it.",7,-0.17,HR Specialist,IT,Medium
368,Multitasking a lot today.,4,0.0,Manager,HR,Medium
369,Looking forward to the weekend!,5,0.0,HR Specialist,Sales,Low
370,I need urgent help with my tasks!,7,0.0,Manager,Sales,High
371,Feeling a bit overwhelmed.,4,0.0,Sales Executive,HR,Medium
372,"Slightly stressed, but I can handle it.",7,-0.17,Data Analyst,Marketing,Medium
373,Need a short break to refocus.,6,0.0,Sales Executive,Finance,Medium
374,Feeling productive today.,3,0.0,Software Engineer,HR,Low
375,Looking forward to the weekend!,5,0.0,Data Analyst,HR,Low
376,Had a good meeting with the team.,7,0.7,HR Specialist,Sales,Low
377,I feel like quitting.,4,0.0,Sales Executive,HR,High
378,I feel like quitting.,4,0.0,Data Analyst,Marketing,High
379,Loving the collaborative environment.,4,0.6,HR Specialist,Finance,Low
380,Looking forward to the weekend!,5,0.0,Manager,Sales,Low
381,Enjoying my work today!,4,0.62,HR Specialist,Marketing,Low
382,Feeling extremely stressed out.,4,-0.12,Sales Executive,HR,High
383,Loving the collaborative environment.,4,0.6,Sales Executive,Sales,Low
384,Great job on the project!,5,1.0,Software Engineer,IT,Low
385,"Struggling to keep up, but staying positive.",7,0.23,Software Engineer,Sales,Medium
386,"Overloaded with work, this is too much!",7,0.25,Sales Executive,Finance,High
387,Deadlines are approaching fast.,4,0.1,HR Specialist,IT,Medium
388,Had a good meeting with the team.,7,0.7,Software Engineer,IT,Low
389,Excited for the team outing!,5,0.47,Manager,Sales,Low
390,Had a good meeting with the team.,7,0.7,HR Specialist,IT,Low
391,Workload is manageable but challenging.,5,0.5,Manager,Finance,Medium
392,Loving the collaborative environment.,4,0.6,Sales Executive,Finance,Low
393,Feeling great about my progress.,5,0.8,Software Engineer,IT,Low
394,Workload is manageable but challenging.,5,0.5,HR Specialist,Marketing,Medium
395,I feel like quitting.,4,0.0,HR Specialist,Sales,High
396,Feeling a bit overwhelmed.,4,0.0,Data Analyst,Finance,Medium
397,Too many meetings today.,4,0.5,Sales Executive,IT,Medium
398,Loving the collaborative environment.,4,0.6,HR Specialist,IT,Low
399,Work is going smoothly.,4,0.4,Manager,HR,Low
400,Had a good meeting with the team.,7,0.7,Data Analyst,Marketing,Low
401,Feeling great about my progress.,5,0.8,Software Engineer,Marketing,Low
402,Burned out and exhausted.,4,-0.4,Manager,Marketing,High
403,Excited for the team outing!,5,0.47,Software Engineer,HR,Low
404,Looking forward to the weekend!,5,0.0,HR Specialist,IT,Low
405,I need urgent help with my tasks!,7,0.0,HR Specialist,Marketing,High
406,This deadline is impossible to meet.,6,-0.67,Sales Executive,Sales,High
407,I can't handle this pressure anymore!,6,0.0,HR Specialist,IT,High
408,Feeling a bit overwhelmed.,4,0.0,HR Specialist,HR,Medium
409,Need a short break to refocus.,6,0.0,Sales Executive,IT,Medium
410,Feeling productive today.,3,0.0,Software Engineer,Sales,Low
411,Feeling productive today.,3,0.0,HR Specialist,IT,Low
412,Had a good meeting with the team.,7,0.7,Data Analyst,Finance,Low
413,Multitasking a lot today.,4,0.0,HR Specialist,IT,Medium
414,Deadlines are approaching fast.,4,0.1,Data Analyst,Marketing,Medium
415,Had a good meeting with the team.,7,0.7,HR Specialist,HR,Low
416,"Slightly stressed, but I can handle it.",7,-0.17,HR Specialist,Finance,Medium
417,"Struggling to keep up, but staying positive.",7,0.23,Data Analyst,Marketing,Medium
418,No work-life balance at all!,5,0.0,Software Engineer,IT,High
419,Great job on the project!,5,1.0,Software Engineer,Sales,Low
420,Feeling great about my progress.,5,0.8,Sales Executive,IT,Low
421,Looking forward to the weekend!,5,0.0,Sales Executive,HR,Low
