EmployeeID,Age,Gender,Department,City,ExperienceYears,AnnualSalary,PerformanceScore,WeeklyHours,ProjectsCompleted,SatisfactionScore,CommuteKm,BMI,MonthlySalesK,DiscountPercent,JoinDate
84,44,Female,Marketing,Delhi,24,1315716,80,44.7,4,9.4,5.5,27.3,113.52,20,2020-11-10
85,24,Male,HR,Delhi,3,1049700,52,37.0,4,6.8,5.9,19.8,163.47,10,2023-12-12
86,18,Other,IT,Bengaluru,0,624528,86,49.0,7,8.9,22.4,27.7,112.85,0,2023-01-31
87,18,Female,IT,Delhi,0,624260,69,43.6,2,7.1,9.7,23.6,75.44,20,2020-09-22
88,30,Female,HR,Jaipur,9,797649,72,33.5,4,8.9,12.3,19.7,68.98,0,2024-08-29
89,36,Female,Sales,Bengaluru,14,531038,79,35.3,8,7.9,9.1,26.9,150.48,20,2020-11-11
90,38,Female,Marketing,Pune,19,1066647,87,42.5,4,5.1,8.3,27.4,180.35,10,2022-09-16
91,33,Male,Marketing,Pune,13,863325,93,44.8,6,7.8,53.1,21.8,115.11,30,2022-01-28
92,29,Male,Finance,Bengaluru,7,676928,74,43.0,5,4.0,8.3,26.2,74.83,15,2025-06-02
93,33,Female,Sales,Jaipur,10,675671,88,41.9,5,7.5,9.9,24.9,122.94,15,2022-10-29
94,23,Male,IT,Mumbai,4,1150719,78,35.0,7,6.5,1.8,24.5,108.21,15,2020-11-01
95,25,Male,Operations,Kolkata,4,712547,67,50.2,4,4.7,4.3,23.2,250.93,25,2020-08-12
96,43,Male,IT,Bengaluru,20,453384,73,40.8,2,7.5,13.7,22.6,119.66,25,2021-02-21
97,21,Female,Operations,Pune,1,876205,84,40.3,2,5.2,9.5,25.7,589.01,25,2023-08-10
98,35,Male,Sales,Hyderabad,15,722449,67,44.1,10,6.6,5.1,21.1,115.02,25,2023-01-17
99,18,Female,Operations,Hyderabad,0,1449472,94,54.0,6,7.6,9.9,21.7,115.21,25,2023-04-16
100,33,Male,Sales,Mumbai,14,1573289,78,35.2,6,8.2,2.7,21.3,303.1,25,2020-05-01
101,35,Female,Sales,Pune,16,1287451,72,44.7,4,8.5,8.2,24.4,163.81,5,2024-10-08
102,26,Female,Marketing,Hyderabad,3,752968,74,41.8,4,7.7,12.2,29.6,126.55,10,2020-06-26
103,30,Female,Finance,Pune,8,518354,77,41.8,6,5.7,1.0,19.4,85.09,15,2023-11-06
104,18,Female,IT,Hyderabad,0,1770509,74,39.6,6,8.4,14.5,24.2,348.57,20,2024-11-23
105,35,Male,IT,Mumbai,16,908966,63,47.8,5,6.1,1.5,28.8,72.47,0,2025-01-14
106,18,Male,Sales,Pune,0,711560,73,35.0,3,6.4,1.0,19.7,144.07,5,2024-04-23
107,40,Female,HR,Jaipur,20,665017,85,49.4,1,4.9,5.1,23.1,73.36,20,2020-09-17
108,32,Female,IT,Jaipur,9,1034794,67,39.1,2,6.3,33.3,27.1,194.75,30,2023-09-14
109,21,Male,Sales,Pune,0,1316652,83,35.0,5,5.3,16.8,26.4,208.74,10,2021-04-24
110,38,Female,IT,Chennai,17,820844,60,42.8,9,4.9,2.3,20.9,226.99,0,2025-06-14
111,26,Male,IT,Kolkata,6,530727,86,38.5,5,7.5,1.9,32.3,144.06,15,2025-06-05
112,24,Male,Sales,Mumbai,4,649213,81,50.6,3,4.6,2.5,19.6,398.49,20,2021-03-20
113,18,Female,Marketing,Bengaluru,0,880869,77,53.8,3,7.9,9.6,33.0,237.11,20,2023-08-21
114,29,Male,Operations,Jaipur,10,644731,81,42.3,3,8.6,1.0,19.5,171.15,25,2022-05-05
115,31,Female,HR,Jaipur,9,529790,81,30.6,3,6.6,7.4,18.0,217.13,5,2024-01-15
116,28,Female,Operations,Pune,9,1002901,73,43.0,4,7.3,1.0,28.8,136.7,25,2021-07-16
117,26,Female,Operations,Delhi,7,643530,73,43.8,5,7.5,6.1,21.6,120.38,20,2021-05-13
118,38,Female,IT,Pune,15,3758564,74,46.1,6,9.5,12.4,28.3,262.64,30,2023-11-18
119,39,Female,Operations,Hyderabad,16,1180394,67,47.2,3,6.5,2.1,25.5,49.8,10,2022-02-25
120,33,Female,Finance,Pune,10,392843,69,45.0,5,3.7,4.7,18.5,283.85,15,2022-10-01
121,34,Female,HR,Kolkata,14,2007052,87,48.0,6,8.3,12.1,29.7,215.22,0,2020-07-06
122,39,Male,IT,Mumbai,18,966598,75,44.1,7,6.6,10.9,25.9,111.8,10,2022-04-27
123,30,Female,Operations,Delhi,11,705251,77,40.8,3,7.6,4.3,27.3,236.52,5,2024-01-16
124,25,Male,Finance,Pune,3,1445169,65,46.3,4,5.6,23.6,30.8,95.74,15,2025-06-06
125,27,Female,Operations,Chennai,7,819848,89,35.4,7,5.4,13.7,21.7,449.41,15,2025-04-15
126,30,Male,Operations,Kolkata,9,734154,64,40.7,4,5.7,7.2,26.3,190.94,20,2022-11-03
127,47,Female,Finance,Chennai,27,2097552,65,39.3,1,7.0,2.2,30.4,195.62,25,2023-10-19
128,20,Male,Operations,Pune,0,1385112,54,44.9,5,7.3,7.5,28.3,272.51,5,2021-12-07
129,42,Female,HR,Mumbai,21,753071,74,46.0,2,5.6,1.2,24.0,227.68,0,2021-09-06
130,45,Female,Operations,Delhi,22,925144,79,49.4,3,5.5,19.2,26.5,176.76,25,2022-06-04
131,22,Male,HR,Pune,0,2491918,84,41.0,3,9.4,2.5,29.3,107.82,10,2023-10-05
132,39,Female,IT,Mumbai,18,1463843,65,36.4,8,6.4,1.1,29.8,117.38,25,2020-10-16
133,24,Male,IT,Jaipur,2,977949,74,36.9,2,6.4,1.0,28.5,393.86,15,2022-04-17
134,29,Male,Finance,Pune,9,427659,65,43.0,3,7.2,8.6,19.9,166.15,20,2024-08-13
135,42,Male,IT,Bengaluru,19,2507776,74,44.3,4,8.6,5.1,24.5,268.23,0,2024-05-07
136,35,Female,IT,Kolkata,16,676416,68,43.4,5,6.3,9.3,27.1,81.23,10,2023-03-18
137,31,Female,Sales,Kolkata,8,1245049,94,55.6,1,7.0,21.2,30.8,344.44,15,2020-10-18
138,27,Male,HR,Mumbai,7,3064311,71,35.2,6,5.0,24.4,24.9,581.39,30,2022-12-30
139,18,Male,Finance,Hyderabad,0,993870,90,38.6,7,6.8,1.3,23.4,257.59,0,2025-03-18
140,38,Male,Operations,Delhi,15,550889,66,45.1,3,5.9,1.0,19.5,240.44,30,2021-04-24
141,29,Male,Sales,Delhi,6,862333,76,37.0,3,9.2,14.2,30.0,145.6,0,2024-02-05
142,34,Male,Operations,Delhi,13,419665,70,37.3,2,7.7,2.9,27.7,185.84,5,2020-06-26
143,36,Male,IT,Kolkata,13,745739,71,40.9,6,5.3,18.1,21.3,544.35,25,2024-11-28
144,29,Male,Sales,Pune,10,648542,86,43.9,1,6.6,26.3,23.3,68.34,10,2020-09-27
145,21,Female,Marketing,Jaipur,1,912451,87,50.2,4,5.0,1.0,27.7,165.45,10,2020-06-20
146,29,Male,Operations,Chennai,7,2022516,86,36.5,6,6.2,22.5,18.4,132.59,20,2020-04-22
147,28,Female,Sales,Pune,6,976751,90,48.4,9,7.4,18.2,26.3,231.56,0,2021-06-22
148,30,Female,Finance,Pune,7,784673,62,35.5,5,4.9,3.1,21.6,151.43,30,2020-01-26
149,33,Male,Operations,Pune,13,1239391,86,31.5,3,4.9,3.8,27.7,75.03,20,2023-10-10
150,37,Female,Operations,Mumbai,18,1222597,71,49.2,2,5.6,4.1,25.5,461.8,5,2022-08-08
151,18,Female,IT,Bengaluru,0,6337170,94,48.8,8,9.2,22.7,24.6,194.74,20,2021-05-02
152,18,Male,IT,Bengaluru,0,1152265,87,46.8,3,7.6,1.7,25.4,169.73,5,2021-04-29
153,28,Female,IT,Chennai,8,1137343,93,38.5,5,5.8,1.5,25.6,79.48,15,2021-09-23
154,18,Female,Sales,Pune,0,351592,79,44.1,8,6.6,4.3,25.3,223.51,15,2024-10-16
155,20,Male,Sales,Delhi,0,1189498,79,43.3,5,5.1,33.3,28.1,53.31,30,2020-06-02
156,35,Male,Operations,Chennai,15,746307,75,50.6,8,5.8,5.2,27.3,267.82,15,2024-12-14
157,39,Male,Sales,Kolkata,20,537291,86,46.2,3,5.3,3.4,18.9,67.34,25,2022-01-05
158,19,Female,Operations,Kolkata,0,972267,77,41.9,5,6.5,7.7,31.6,105.41,5,2025-06-17
159,36,Female,Marketing,Pune,14,250000,81,43.1,1,7.5,4.6,27.1,219.83,20,2020-02-27
160,30,Female,IT,Bengaluru,11,1989181,66,46.7,1,7.5,11.0,24.8,58.21,10,2025-02-22
161,22,Female,IT,Chennai,1,1081924,63,44.6,5,5.6,1.0,23.9,279.72,20,2020-07-25
162,29,Male,IT,Jaipur,7,535183,82,40.2,4,6.2,1.6,30.2,320.46,30,2025-05-30
163,28,Female,Operations,Bengaluru,7,896045,72,40.5,4,6.2,12.1,27.4,286.32,10,2022-07-03
164,38,Female,Marketing,Pune,15,835467,75,47.1,5,8.0,5.6,22.0,209.13,5,2020-11-29
165,19,Male,Marketing,Mumbai,0,628706,80,44.7,5,7.5,10.8,23.4,188.06,0,2022-06-02
166,37,Male,Sales,Bengaluru,17,1577624,72,47.1,4,6.3,1.2,21.7,117.43,15,2020-11-10
167,33,Female,Marketing,Jaipur,10,628648,75,42.4,5,7.7,6.1,21.6,145.11,0,2023-08-07
168,28,Male,Marketing,Hyderabad,8,1635278,73,38.4,5,6.8,13.2,22.8,257.74,30,2023-04-22
169,33,Male,Operations,Jaipur,13,696320,78,38.7,4,8.9,8.7,25.6,53.56,5,2025-06-13
170,34,Other,HR,Kolkata,11,459951,81,44.8,8,6.6,1.1,17.3,170.74,30,2021-07-19
171,18,Female,IT,Kolkata,0,1017988,72,44.2,5,7.6,18.1,25.6,74.24,20,2023-06-01
172,28,Female,Sales,Kolkata,8,758827,76,52.2,6,9.8,1.0,20.4,239.7,10,2024-09-22
173,20,Male,Operations,Hyderabad,0,1269889,75,47.3,4,6.4,2.8,22.5,543.42,30,2022-11-23
174,42,Male,IT,Kolkata,23,1272851,61,48.4,7,9.0,3.8,21.4,293.98,25,2025-03-05
175,34,Male,Finance,Jaipur,13,1669180,76,38.0,4,6.3,10.2,26.1,240.16,10,2023-08-27
176,31,Male,Finance,Delhi,8,337545,76,41.5,4,9.1,6.6,23.3,123.4,10,2021-03-22
177,21,Male,HR,Chennai,2,528889,78,35.8,3,6.4,4.7,27.3,76.92,25,2021-09-03
178,36,Female,Operations,Kolkata,14,1477524,86,38.0,2,6.9,5.9,28.7,164.38,25,2023-12-31
179,34,Female,Operations,Hyderabad,14,1283488,87,47.4,1,7.8,19.8,26.7,208.91,25,2025-01-16
180,31,Female,Sales,Kolkata,10,692671,78,43.1,3,4.0,10.5,26.0,334.65,30,2023-10-26
181,28,Male,Operations,Bengaluru,5,772383,80,33.9,9,7.7,10.3,31.2,208.8,15,2023-07-21
182,25,Male,HR,Bengaluru,5,7377800,79,40.5,1,7.0,5.1,30.7,80.72,20,2021-09-18
183,40,Male,Operations,Chennai,19,873102,91,35.0,6,9.3,1.0,20.5,150.82,25,2023-08-25
184,35,Female,IT,Pune,14,811371,65,38.2,2,6.1,14.3,24.9,181.74,25,2020-07-25
185,29,Male,IT,Mumbai,10,412832,68,35.1,4,5.0,21.4,20.1,320.25,15,2021-08-27
186,38,Male,IT,Bengaluru,16,1049164,85,49.5,5,4.6,1.3,24.0,108.18,10,2021-06-24
187,29,Female,Operations,Chennai,7,1103094,76,43.4,3,9.8,13.1,26.7,88.48,15,2025-05-10
188,21,Male,HR,Mumbai,0,675633,60,31.6,7,7.7,19.1,19.0,82.29,20,2022-09-15
189,36,Female,IT,Pune,14,877323,60,48.7,1,6.5,12.8,25.0,165.72,25,2023-03-03
190,36,Female,Finance,Mumbai,15,863429,99,34.7,6,8.7,26.7,30.5,168.72,5,2022-11-01
191,42,Female,Sales,Bengaluru,20,910774,59,40.0,6,7.2,7.0,23.0,162.89,15,2022-07-04
192,23,Male,Sales,Pune,0,1790945,100,46.1,1,5.7,20.9,25.5,71.31,20,2022-08-26
193,31,Female,Sales,Bengaluru,11,1507327,65,46.7,5,6.5,27.3,25.9,143.57,25,2024-01-17
194,27,Female,Sales,Kolkata,5,627410,79,44.0,8,9.0,13.4,26.1,134.81,20,2020-10-02
195,33,Male,IT,Jaipur,10,368248,74,49.7,3,5.6,6.5,31.9,216.05,5,2021-07-14
196,27,Male,Finance,Kolkata,6,956114,80,33.7,2,6.0,9.7,30.5,103.8,25,2021-08-18
197,26,Female,Operations,Delhi,4,770767,54,34.3,4,5.1,13.2,25.1,107.1,30,2022-12-29
198,29,Male,Finance,Delhi,6,389016,93,43.6,5,6.7,1.0,22.4,216.66,20,2020-03-07
199,27,Female,Operations,Bengaluru,8,351855,83,41.7,2,6.5,31.3,30.2,305.88,20,2020-04-20
200,39,Female,Operations,Jaipur,20,1409102,75,47.3,1,5.0,18.0,22.9,295.22,5,2023-10-30
201,51,Male,Sales,Hyderabad,32,981836,86,39.5,4,6.8,2.0,22.3,123.75,25,2023-06-14
202,36,Male,IT,Chennai,17,969538,67,29.6,4,5.5,5.2,23.4,484.36,10,2022-01-08
203,27,Other,Finance,Pune,8,513921,98,45.5,6,7.0,26.0,25.6,82.39,0,2022-03-01
204,32,Female,Operations,Chennai,9,887063,91,36.1,4,6.7,1.2,26.0,164.39,5,2023-10-04
205,29,Male,Operations,Kolkata,9,1127345,69,34.8,1,6.7,1.0,26.0,297.65,20,2024-08-09
206,33,Male,Finance,Chennai,13,970091,82,49.4,5,7.1,14.5,19.2,119.92,30,2025-03-12
207,25,Female,Finance,Delhi,2,1319563,78,41.8,1,6.1,40.4,32.5,438.8,0,2023-02-07
208,36,Female,Sales,Mumbai,13,1446909,71,39.2,8,5.9,2.1,20.7,102.14,30,2023-03-07
209,42,Female,Finance,Hyderabad,23,515655,59,40.2,3,5.6,3.2,29.2,118.26,5,2021-10-12
210,25,Male,IT,Chennai,4,620127,75,46.5,1,6.5,3.9,18.9,95.51,10,2024-12-02
211,24,Male,Finance,Mumbai,3,492770,76,47.4,1,7.5,1.0,23.5,54.88,0,2024-07-22
212,25,Male,Sales,Hyderabad,6,817783,69,24.4,3,7.4,15.9,31.3,100.36,20,2020-07-04
213,25,Female,Operations,Delhi,3,490649,82,42.1,3,7.6,15.8,22.9,212.93,10,2022-01-26
214,34,Male,Operations,Jaipur,15,1037245,89,51.0,2,5.3,5.7,22.0,110.76,30,2020-06-08
215,25,Male,Finance,Chennai,3,1057737,73,36.3,5,7.3,12.4,25.9,104.11,10,2023-05-17
216,32,Male,HR,Mumbai,10,689610,70,36.3,5,7.4,10.2,24.7,58.5,0,2024-12-29
217,30,Female,Operations,Kolkata,9,1071328,73,36.8,3,2.5,24.2,28.4,248.64,30,2024-04-20
218,37,Female,Sales,Jaipur,16,807587,88,40.4,4,3.7,13.8,23.3,351.63,5,2022-09-01
219,41,Male,Finance,Jaipur,22,927747,67,36.2,1,6.3,6.6,20.7,537.35,15,2021-04-14
220,41,Female,Marketing,Mumbai,21,404475,70,38.6,5,7.0,16.3,24.9,154.96,5,2023-11-09
221,35,Female,Sales,Hyderabad,12,1023544,65,41.6,7,6.2,9.6,26.1,161.22,20,2023-02-10
222,18,Female,Marketing,Delhi,0,1271674,78,46.5,2,7.5,6.1,26.9,103.61,25,2023-11-02
223,31,Female,Operations,Jaipur,8,584041,69,46.8,4,8.4,50.0,25.4,191.62,25,2025-05-27
224,18,Male,IT,Bengaluru,0,915800,61,48.8,1,4.7,11.5,24.1,198.42,25,2020-01-01
225,36,Male,IT,Kolkata,15,1846144,74,39.2,5,5.2,5.1,22.6,228.24,5,2022-07-20
226,42,Female,Sales,Mumbai,21,490254,69,37.4,4,4.4,3.5,22.8,136.46,15,2024-04-25
227,33,Female,IT,Pune,13,586298,84,38.2,5,6.2,6.4,17.7,108.31,25,2024-08-31
228,32,Female,IT,Mumbai,12,748834,83,39.0,4,8.0,32.0,30.5,44.59,5,2024-02-15
229,33,Male,Sales,Chennai,11,1247742,82,43.3,5,6.6,7.9,24.2,191.58,20,2024-11-14
230,32,Male,Marketing,Delhi,13,867790,81,50.4,6,5.2,2.3,28.3,131.42,0,2023-10-12
231,35,Female,Marketing,Delhi,14,849987,87,38.5,4,6.0,14.5,24.5,60.85,10,2022-07-12
232,34,Female,IT,Hyderabad,15,1267172,79,44.1,2,6.9,1.0,20.0,136.63,30,2023-07-15
233,20,Female,Marketing,Pune,0,857022,73,35.8,6,6.3,9.9,27.8,273.0,0,2022-04-23
234,44,Female,Sales,Delhi,25,683056,88,46.1,4,6.4,11.4,25.0,63.5,30,2020-12-09
235,21,Female,IT,Mumbai,1,594323,57,46.0,5,5.8,26.2,22.0,255.51,15,2022-04-27
236,40,Female,IT,Mumbai,18,880523,92,43.2,6,2.1,1.3,22.5,171.3,15,2021-09-25
237,34,Male,IT,Delhi,14,1359219,91,49.3,5,8.8,3.8,23.7,23.26,25,2023-01-09
238,37,Female,HR,Hyderabad,18,714098,87,46.8,3,6.3,1.0,25.7,165.66,5,2021-12-05
239,30,Male,Operations,Pune,10,1300972,87,42.9,1,8.2,6.9,32.2,60.8,25,2022-03-09
240,35,Male,HR,Hyderabad,12,1350803,68,40.2,8,7.5,12.2,27.5,177.17,20,2022-10-04
241,33,Male,Operations,Mumbai,10,857876,76,41.5,6,8.0,6.5,24.8,269.6,10,2022-08-07
242,32,Female,Operations,Pune,9,937425,72,41.5,6,7.0,1.0,28.4,46.56,0,2022-12-03
243,30,Male,IT,Chennai,10,1368998,69,46.4,7,5.7,5.4,24.9,140.03,30,2021-07-19
244,26,Male,Sales,Jaipur,4,1188748,69,40.9,3,6.5,41.9,21.2,199.31,10,2023-08-13
245,38,Male,Sales,Chennai,15,419740,85,43.8,2,9.1,8.0,30.9,136.92,25,2022-09-30
246,34,Male,Marketing,Delhi,13,726519,80,44.6,5,9.1,5.7,24.5,57.22,25,2025-06-03
247,25,Female,IT,Delhi,6,1017067,72,38.7,3,9.6,1.7,27.6,242.85,15,2021-01-27
248,41,Female,IT,Hyderabad,21,840591,82,45.4,5,6.9,20.7,16.1,193.68,25,2020-05-24
249,34,Male,Operations,Bengaluru,12,924552,71,38.8,4,8.1,6.4,30.5,48.76,10,2023-10-13
250,21,Male,Sales,Kolkata,0,960839,78,34.7,4,8.6,69.1,21.6,274.42,25,2022-05-31
251,36,Male,IT,Hyderabad,14,544753,67,38.5,6,9.1,1.0,30.8,65.15,25,2024-08-11
