data_version,age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note,survey_year,survey_month,survey_day,imputation_method
v2.0,39,Female,B.Sc,21.0,Mid,SME,Tier-3,4,1,0,3,201222,59,2024-05-13,Built ML pipeline for preprocessing,2024,5,13,Iterative
v2.0,29,Female,B.Sc+Cert,7.0,Junior,SME,Tier-3,6,0,1,0,89231,59,2024-09-17,Built ML pipeline for preprocessing,2024,9,17,Iterative
v2.0,30,Male,B.Sc,8.0,Mid,Enterprise,Tier-3,6,1,1,0,111120,59,2023-10-28,Built ML pipeline for preprocessing,2023,10,28,Iterative
v2.0,21,Female,M.Sc,0.0,Senior,Startup,Tier-2,5,0,1,1,60792,53,2024-02-29,Worked on microservices deployment,2024,2,29,Iterative
v2.0,27,Male,B.Sc,10.0,Mid,Enterprise,Tier-1,6,2,0,2,138325,71,2023-03-31,Experience in data cleaning and ETL,2023,3,31,Iterative
v2.0,31,Male,M.Sc,7.0,Senior,Startup,Tier-3,4,0,0,1,101384,62,2023-01-28,Contributed to open-source NLP repo,2023,1,28,Iterative
v2.0,23,Male,M.Sc,0.0,Senior,SME,Tier-1,9,1,0,3,72060,51,2024-06-27,Experience in data cleaning and ETL,2024,6,27,Iterative
v2.0,32,Male,B.Sc,11.0,Junior,SME,Tier-1,4,0,1,2,112714,57,2023-08-05,No relevant project mentioned,2023,8,5,Iterative
v2.0,26,Female,B.Sc,4.0,Mid,Enterprise,Tier-2,6,0,0,6,80467,77,2023-03-12,Worked on microservices deployment,2023,3,12,Iterative
v2.0,28,Male,B.Sc,4.0,Mid,Startup,Remote,7,0,0,0,66454,74,2023-01-30,Built ML pipeline for preprocessing,2023,1,30,Iterative
v2.0,26,Male,B.Sc,6.0,Mid,Startup,Tier-1,4,1,1,2,250336,60,2023-09-13,Built ML pipeline for preprocessing,2023,9,13,Iterative
v2.0,41,Male,M.Sc,19.0,Junior,SME,Tier-2,1,2,0,5,175155,57,2024-11-01,No relevant project mentioned,2024,11,1,Iterative
v2.0,30,Male,B.Sc+Cert,7.28,Lead,SME,Tier-1,4,0,1,3,143629,51,2024-01-31,Contributed to open-source NLP repo,2024,1,31,Iterative
v2.0,24,Female,B.Sc,2.0,Mid,SME,Remote,4,2,0,3,67896,72,2024-06-04,Built ML pipeline for preprocessing,2024,6,4,Iterative
v2.0,35,Male,M.Sc,12.05,Mid,SME,Tier-2,5,1,1,0,125584,59,2023-11-19,Experience in data cleaning and ETL,2023,11,19,Iterative
v2.0,23,Male,M.Sc,0.0,Mid,SME,Tier-1,4,0,0,6,58900,64,2024-01-05,Built ML pipeline for preprocessing,2024,1,5,Iterative
v2.0,31,Male,M.Sc,10.0,Mid,Startup,Tier-1,1,1,0,4,126449,69,2023-06-05,No relevant project mentioned,2023,6,5,Iterative
v2.0,20,Male,B.Sc+Cert,0.0,Senior,Startup,Tier-2,3,1,0,3,48515,63,2023-08-02,Built ML pipeline for preprocessing,2023,8,2,Iterative
v2.0,22,Male,B.Sc,0.0,Mid,SME,Tier-1,12,1,1,5,67152,47,2024-10-27,Built ML pipeline for preprocessing,2024,10,27,Iterative
v2.0,31,Male,B.Sc,8.37,Junior,SME,Tier-1,5,0,0,2,146464,67,2023-03-24,No relevant project mentioned,2023,3,24,Iterative
v2.0,34,Male,M.Sc,11.0,Junior,Startup,Tier-2,3,1,0,1,130072,62,2024-02-09,Contributed to open-source NLP repo,2024,2,9,Iterative
v2.0,31,Female,M.Sc,9.0,Senior,Startup,Tier-2,5,1,1,2,138837,62,2024-09-04,Contributed to open-source NLP repo,2024,9,4,Iterative
v2.0,29,Female,M.Sc,9.0,Mid,SME,Tier-3,4,0,0,4,116410,47,2023-01-10,Experience in data cleaning and ETL,2023,1,10,Iterative
v2.0,28,Female,B.Sc,4.0,Lead,Startup,Tier-1,6,1,1,3,106823,66,2023-10-07,Worked on microservices deployment,2023,10,7,Iterative
v2.0,21,Male,B.Sc,0.0,Junior,SME,Tier-2,5,1,1,2,36290,59,2023-10-08,Worked on microservices deployment,2023,10,8,Iterative
v2.0,26,Male,B.Sc,6.0,Junior,SME,Tier-2,3,3,0,0,87350,54,2024-11-22,Contributed to open-source NLP repo,2024,11,22,Iterative
v2.0,27,Male,B.Sc,7.0,Junior,Startup,Tier-1,8,1,1,4,96735,59,2023-03-31,Contributed to open-source NLP repo,2023,3,31,Iterative
v2.0,36,Female,M.Sc,13.0,Mid,Startup,Tier-2,5,0,0,2,155381,57,2023-05-09,Built ML pipeline for preprocessing,2023,5,9,Iterative
v2.0,32,Male,M.Sc,11.0,Mid,Enterprise,Tier-1,7,1,0,0,179168,66,2023-11-05,Experience in data cleaning and ETL,2023,11,5,Iterative
v2.0,20,Male,B.Sc,0.0,Junior,Enterprise,Tier-3,3,0,0,2,31751,75,2024-04-29,Contributed to open-source NLP repo,2024,4,29,Iterative
v2.0,32,Male,B.Sc,6.0,Mid,SME,Tier-2,10,0,1,7,92475,64,2023-04-17,Contributed to open-source NLP repo,2023,4,17,Iterative
v2.0,28,Male,B.Sc,0.0,Mid,SME,Tier-2,9,0,0,1,44801,59,2024-05-19,Built ML pipeline for preprocessing,2024,5,19,Iterative
v2.0,26,Male,B.Sc,1.0,Junior,Enterprise,Tier-1,7,0,0,0,63464,67,2023-10-10,Built ML pipeline for preprocessing,2023,10,10,Iterative
v2.0,34,Male,M.Sc,12.0,Mid,Enterprise,Tier-1,4,1,1,0,150913,48,2023-04-17,Experience in data cleaning and ETL,2023,4,17,Iterative
v2.0,36,Female,B.Sc,14.0,Mid,SME,Tier-2,5,0,0,0,154466,64,2023-06-04,Contributed to open-source NLP repo,2023,6,4,Iterative
v2.0,36,Male,B.Sc,13.0,Junior,Startup,Tier-2,5,0,1,0,143176,63,2023-08-20,No relevant project mentioned,2023,8,20,Iterative
v2.0,25,Male,M.Sc,2.0,Junior,SME,Tier-1,6,2,0,5,73344,41,2024-03-24,Built ML pipeline for preprocessing,2024,3,24,Iterative
v2.0,28,Male,B.Sc+Cert,6.0,Junior,SME,Tier-1,7,1,0,0,111147,59,2024-01-15,Worked on microservices deployment,2024,1,15,Iterative
v2.0,32,Male,M.Eng,10.0,Mid,SME,Tier-1,6,1,1,5,131675,59,2023-11-29,Built ML pipeline for preprocessing,2023,11,29,Iterative
v2.0,36,Male,B.Sc,11.0,Senior,SME,Tier-2,8,1,0,0,392397,66,2024-08-18,Built ML pipeline for preprocessing,2024,8,18,Iterative
v2.0,27,Female,B.Sc+Cert,6.0,Mid,Enterprise,Tier-1,3,0,1,5,116332,59,2023-03-17,Built ML pipeline for preprocessing,2023,3,17,Iterative
v2.0,29,Male,B.Sc,5.0,Junior,SME,Tier-2,4,0,1,1,79732,70,2023-09-18,Worked on microservices deployment,2023,9,18,Iterative
v2.0,23,Female,B.Sc,0.0,Senior,Startup,Tier-1,3,1,0,2,53444,66,2023-12-03,Built ML pipeline for preprocessing,2023,12,3,Iterative
v2.0,23,Male,B.Sc,3.0,Lead,Startup,Tier-2,7,0,0,0,89320,52,2023-08-18,Worked on microservices deployment,2023,8,18,Iterative
v2.0,35,Male,B.Sc,9.0,Mid,SME,Tier-1,6,0,0,1,117205,67,2023-08-09,Contributed to open-source NLP repo,2023,8,9,Iterative
v2.0,38,Female,B.Sc,16.0,Lead,Startup,Tier-2,7,1,1,0,185657,59,2024-11-23,Experience in data cleaning and ETL,2024,11,23,Iterative
v2.0,30,Male,B.Sc,11.0,Mid,SME,Tier-1,5,1,0,2,148203,68,2024-02-02,Built ML pipeline for preprocessing,2024,2,2,Iterative
v2.0,36,Male,B.Sc,14.0,Mid,SME,Tier-1,4,1,0,1,157882,72,2024-12-14,Worked on microservices deployment,2024,12,14,Iterative
v2.0,32,Male,M.Eng,7.0,Mid,SME,Tier-2,5,1,1,5,121826,59,2024-02-16,Contributed to open-source NLP repo,2024,2,16,Iterative
v2.0,26,Male,B.Sc+Cert,1.0,Mid,Enterprise,Tier-1,5,3,0,0,84510,75,2024-09-21,Contributed to open-source NLP repo,2024,9,21,Iterative
v2.0,32,Female,B.Sc,6.0,Junior,SME,Tier-1,3,2,0,1,86229,47,2024-09-20,Contributed to open-source NLP repo,2024,9,20,Iterative
v2.0,39,Male,B.Sc+Cert,20.0,Senior,Startup,Tier-3,4,0,1,0,206288,49,2024-02-05,Built ML pipeline for preprocessing,2024,2,5,Iterative
v2.0,30,Female,B.Sc+Cert,9.0,Senior,Startup,Remote,6,1,0,2,123057,50,2024-12-09,Experience in data cleaning and ETL,2024,12,9,Iterative
v2.0,39,Female,M.Sc,16.0,Mid,SME,Tier-1,10,0,0,0,182737,59,2024-12-06,Experience in data cleaning and ETL,2024,12,6,Iterative
v2.0,20,Male,B.Sc,-1.91,Junior,Startup,Tier-3,5,3,0,0,29061,79,2024-05-12,Built ML pipeline for preprocessing,2024,5,12,Iterative
v2.0,35,Female,M.Sc,10.0,Junior,SME,Tier-2,2,0,1,3,118001,60,2024-09-07,Contributed to open-source NLP repo,2024,9,7,Iterative
v2.0,31,Male,B.Sc+Cert,6.0,Junior,Startup,Tier-1,7,1,0,0,89997,53,2023-06-23,Worked on microservices deployment,2023,6,23,Iterative
v2.0,28,Female,M.Sc,5.0,Junior,SME,Remote,3,1,0,3,85847,59,2023-10-28,Built ML pipeline for preprocessing,2023,10,28,Iterative
v2.0,31,Male,B.Sc,11.0,Mid,Enterprise,Tier-3,3,0,0,0,108911,59,2023-04-13,Built ML pipeline for preprocessing,2023,4,13,Iterative
v2.0,20,Male,B.Sc,1.0,Senior,Startup,Remote,6,1,1,2,67670,69,2024-06-04,Worked on microservices deployment,2024,6,4,Iterative
v2.0,29,Male,M.Sc,7.0,Junior,SME,Tier-1,6,0,0,7,92325,58,2023-06-13,No relevant project mentioned,2023,6,13,Iterative
v2.0,32,Male,B.Sc,9.06,Junior,SME,Tier-1,6,7,0,2,128716,53,2023-01-05,Experience in data cleaning and ETL,2023,1,5,Iterative
v2.0,39,Male,B.Sc,15.0,Mid,Enterprise,Tier-2,3,0,0,1,156630,59,2024-08-23,Experience in data cleaning and ETL,2024,8,23,Iterative
v2.0,27,Female,B.Sc,4.0,Junior,SME,Tier-2,7,0,0,5,67580,47,2023-06-27,No relevant project mentioned,2023,6,27,Iterative
v2.0,25,Male,M.Eng,2.0,Senior,SME,Tier-1,5,1,1,2,109316,61,2023-01-27,No relevant project mentioned,2023,1,27,Iterative
v2.0,27,Male,B.Sc+Cert,5.0,Junior,Enterprise,Remote,9,1,1,2,99750,49,2024-11-17,Contributed to open-source NLP repo,2024,11,17,Iterative
v2.0,35,Female,B.Sc,14.0,Junior,SME,Tier-2,6,0,0,2,151662,58,2023-06-10,Built ML pipeline for preprocessing,2023,6,10,Iterative
v2.0,32,Male,B.Sc+Cert,8.0,Junior,SME,Tier-2,3,0,0,1,104664,54,2023-04-25,Built ML pipeline for preprocessing,2023,4,25,Iterative
v2.0,27,Female,B.Sc,7.0,Junior,Startup,Tier-2,3,1,0,2,88771,77,2024-01-13,Worked on microservices deployment,2024,1,13,Iterative
v2.0,33,Female,M.Sc,10.0,Mid,Enterprise,Tier-2,4,0,0,3,141035,57,2023-04-07,Contributed to open-source NLP repo,2023,4,7,Iterative
v2.0,31,Female,M.Sc,4.0,Junior,Enterprise,Tier-1,8,1,1,2,108836,63,2024-11-08,Built ML pipeline for preprocessing,2024,11,8,Iterative
v2.0,36,Female,M.Eng,12.96,Mid,Enterprise,Remote,4,0,0,6,152156,55,2023-05-16,Contributed to open-source NLP repo,2023,5,16,Iterative
v2.0,26,Male,B.Sc+Cert,0.0,Mid,Enterprise,Tier-1,5,1,0,2,77212,61,2024-01-23,Built ML pipeline for preprocessing,2024,1,23,Iterative
v2.0,28,Male,B.Sc,4.0,Junior,Enterprise,Tier-1,10,0,0,2,81911,55,2023-06-13,Contributed to open-source NLP repo,2023,6,13,Iterative
v2.0,28,Female,B.Sc+Cert,3.0,Junior,SME,Remote,7,1,1,7,67754,64,2024-02-19,Worked on microservices deployment,2024,2,19,Iterative
v2.0,21,Male,B.Sc,0.0,Mid,Enterprise,Remote,5,0,1,0,49356,48,2024-12-14,Built ML pipeline for preprocessing,2024,12,14,Iterative
v2.0,32,Male,M.Sc,8.0,Mid,SME,Tier-3,5,2,0,0,104601,57,2024-11-11,Built ML pipeline for preprocessing,2024,11,11,Iterative
v2.0,32,Male,M.Sc,11.0,Senior,SME,Remote,3,2,0,0,158441,66,2023-05-16,Built ML pipeline for preprocessing,2023,5,16,Iterative
v2.0,30,Female,M.Sc,9.0,Junior,SME,Tier-2,6,2,1,7,117894,61,2023-06-07,Built ML pipeline for preprocessing,2023,6,7,Iterative
v2.0,29,Male,B.Sc,7.0,Junior,SME,Remote,4,1,0,3,105294,59,2024-02-02,Experience in data cleaning and ETL,2024,2,2,Iterative
v2.0,22,Male,B.Sc+Cert,2.0,Junior,Enterprise,Tier-1,5,2,0,1,74323,59,2024-01-01,Built ML pipeline for preprocessing,2024,1,1,Iterative
v2.0,27,Male,B.Sc,8.0,Mid,SME,Tier-3,1,3,1,0,109963,54,2023-10-29,Worked on microservices deployment,2023,10,29,Iterative
v2.0,28,Male,B.Sc,5.0,Mid,Startup,Tier-2,8,0,0,2,78201,55,2023-12-15,Worked on microservices deployment,2023,12,15,Iterative
v2.0,25,Male,M.Sc,3.0,Senior,Startup,Tier-1,1,1,0,0,84084,74,2024-01-29,No relevant project mentioned,2024,1,29,Iterative
v2.0,29,Male,B.Sc,5.0,Mid,Enterprise,Tier-2,4,2,1,5,111207,56,2023-11-20,Experience in data cleaning and ETL,2023,11,20,Iterative
v2.0,32,Male,M.Eng,8.0,Junior,SME,Tier-2,7,0,0,3,107168,62,2023-02-19,Contributed to open-source NLP repo,2023,2,19,Iterative
v2.0,41,Female,B.Sc,21.0,Mid,SME,Tier-2,7,1,1,6,226842,48,2023-11-20,Built ML pipeline for preprocessing,2023,11,20,Iterative
v2.0,31,Male,B.Sc,8.29,Senior,SME,Tier-1,7,1,0,1,128944,50,2024-05-28,Built ML pipeline for preprocessing,2024,5,28,Iterative
v2.0,32,Female,M.Eng,7.0,Junior,SME,Tier-3,2,0,1,2,82079,55,2024-04-07,No relevant project mentioned,2024,4,7,Iterative
v2.0,30,Female,B.Sc,3.0,Mid,Startup,Tier-1,7,1,0,2,79272,59,2023-03-16,Contributed to open-source NLP repo,2023,3,16,Iterative
v2.0,20,Male,B.Sc,0.0,Lead,SME,Tier-2,3,1,1,5,68987,45,2024-05-15,Worked on microservices deployment,2024,5,15,Iterative
v2.0,30,Male,M.Sc,8.0,Mid,Enterprise,Remote,6,3,0,7,138073,64,2024-12-27,Contributed to open-source NLP repo,2024,12,27,Iterative
v2.0,30,Male,B.Sc,6.0,Mid,SME,Tier-2,4,0,0,6,85805,49,2023-07-07,Built ML pipeline for preprocessing,2023,7,7,Iterative
v2.0,45,Female,M.Sc,22.0,Junior,SME,Tier-1,5,1,0,2,205524,57,2023-05-09,Experience in data cleaning and ETL,2023,5,9,Iterative
v2.0,29,Male,B.Sc,7.0,Mid,Startup,Tier-1,2,3,1,0,99141,53,2024-05-07,Built ML pipeline for preprocessing,2024,5,7,Iterative
v2.0,32,Male,M.Eng,10.0,Junior,SME,Tier-2,3,1,0,2,125369,47,2023-04-07,No relevant project mentioned,2023,4,7,Iterative
v2.0,30,Male,M.Eng,9.0,Mid,Startup,Remote,1,1,1,0,122521,49,2023-12-31,Built ML pipeline for preprocessing,2023,12,31,Iterative
v2.0,23,Male,M.Sc,0.0,Junior,SME,Remote,8,2,0,0,55768,59,2024-05-15,Built ML pipeline for preprocessing,2024,5,15,Iterative
v2.0,37,Male,B.Sc,13.74,Senior,SME,Tier-3,5,2,1,0,107524,65,2023-06-14,Experience in data cleaning and ETL,2023,6,14,Iterative
v2.0,35,Male,M.Eng,10.0,Senior,Enterprise,Tier-1,5,0,0,1,184933,59,2023-06-26,Built ML pipeline for preprocessing,2023,6,26,Iterative
v2.0,35,Female,B.Sc,10.0,Mid,SME,Tier-1,6,0,0,2,152967,53,2024-09-20,Contributed to open-source NLP repo,2024,9,20,Iterative
v2.0,25,Male,M.Sc,4.0,Junior,SME,Tier-1,1,0,0,1,63311,59,2024-12-22,Contributed to open-source NLP repo,2024,12,22,Iterative
v2.0,38,Male,B.Sc,13.0,Junior,SME,Tier-1,4,1,0,2,132455,74,2023-09-30,Experience in data cleaning and ETL,2023,9,30,Iterative
v2.0,22,Male,B.Sc+Cert,0.0,Senior,SME,Tier-1,5,1,0,0,58393,59,2023-11-23,Worked on microservices deployment,2023,11,23,Iterative
v2.0,34,Female,M.Sc,8.0,Mid,Startup,Tier-1,1,3,1,2,134124,62,2024-02-03,No relevant project mentioned,2024,2,3,Iterative
v2.0,43,Male,B.Sc,17.0,Mid,SME,Tier-2,5,0,0,3,177337,36,2024-07-16,Contributed to open-source NLP repo,2024,7,16,Iterative
v2.0,24,Female,B.Sc,0.0,Junior,Enterprise,Tier-1,1,0,1,0,46722,62,2024-02-15,Worked on microservices deployment,2024,2,15,Iterative
v2.0,27,Male,B.Sc,10.0,Mid,Startup,Tier-2,4,1,0,4,128993,59,2023-03-05,Built ML pipeline for preprocessing,2023,3,5,Iterative
v2.0,31,Male,B.Sc,7.0,Mid,SME,Remote,7,1,0,2,102483,56,2024-03-22,No relevant project mentioned,2024,3,22,Iterative
v2.0,27,Male,B.Sc+Cert,5.0,Mid,Enterprise,Tier-2,4,3,1,2,95740,53,2023-12-07,Worked on microservices deployment,2023,12,7,Iterative
v2.0,21,Male,M.Sc,0.0,Mid,SME,Tier-3,4,0,0,2,41870,56,2023-08-17,No relevant project mentioned,2023,8,17,Iterative
v2.0,30,Male,M.Sc,10.0,Senior,Enterprise,Tier-3,4,1,1,2,154614,57,2024-05-19,Worked on microservices deployment,2024,5,19,Iterative
v2.0,24,Male,B.Sc,3.0,Junior,SME,Tier-1,1,2,0,0,57119,57,2024-09-20,Contributed to open-source NLP repo,2024,9,20,Iterative
v2.0,33,Female,B.Sc,10.17,Junior,SME,Tier-1,6,1,0,3,138188,60,2023-09-07,Built ML pipeline for preprocessing,2023,9,7,Iterative
v2.0,24,Male,B.Sc+Cert,1.0,Mid,SME,Tier-1,5,3,0,2,55705,60,2023-03-11,No relevant project mentioned,2023,3,11,Iterative
v2.0,39,Male,B.Sc,18.0,Junior,Enterprise,Tier-1,4,1,0,0,197835,81,2024-05-26,Worked on microservices deployment,2024,5,26,Iterative
v2.0,25,Male,B.Sc,5.0,Senior,Enterprise,Tier-2,5,3,0,3,141658,57,2023-12-11,Contributed to open-source NLP repo,2023,12,11,Iterative
v2.0,28,Male,B.Sc,4.0,Mid,Startup,Remote,8,0,0,3,74818,49,2024-06-30,Built ML pipeline for preprocessing,2024,6,30,Iterative
v2.0,35,Male,B.Sc,11.0,Senior,SME,Remote,3,0,0,0,119158,63,2023-09-30,No relevant project mentioned,2023,9,30,Iterative
v2.0,23,Male,B.Sc,0.0,Mid,Startup,Tier-1,4,0,0,4,46100,59,2024-07-09,Worked on microservices deployment,2024,7,9,Iterative
v2.0,31,Male,B.Sc,8.0,Junior,Startup,Remote,2,1,1,1,92689,51,2023-12-11,Built ML pipeline for preprocessing,2023,12,11,Iterative
v2.0,38,Male,PhD,14.0,Junior,SME,Tier-1,3,1,0,0,182065,50,2024-04-04,Experience in data cleaning and ETL,2024,4,4,Iterative
v2.0,20,Male,B.Sc,0.0,Senior,SME,Tier-3,2,1,1,3,45599,50,2023-04-17,Built ML pipeline for preprocessing,2023,4,17,Iterative
v2.0,31,Male,B.Sc,8.1,Junior,Startup,Tier-1,6,1,0,2,101069,75,2024-05-02,No relevant project mentioned,2024,5,2,Iterative
v2.0,32,Male,B.Sc,9.0,Mid,Startup,Tier-1,5,1,1,0,99733,65,2023-02-13,Built ML pipeline for preprocessing,2023,2,13,Iterative
v2.0,35,Male,B.Sc,8.0,Senior,SME,Tier-1,2,0,0,5,127541,57,2024-05-16,No relevant project mentioned,2024,5,16,Iterative
v2.0,23,Female,B.Sc,0.0,Junior,Enterprise,Remote,1,1,0,5,43103,63,2024-02-29,No relevant project mentioned,2024,2,29,Iterative
v2.0,22,Male,B.Sc+Cert,1.0,Junior,Enterprise,Tier-1,4,3,0,4,56675,68,2023-02-18,Built ML pipeline for preprocessing,2023,2,18,Iterative
v2.0,33,Male,B.Sc,10.0,Mid,Startup,Tier-1,4,0,0,1,137437,79,2023-03-01,Worked on microservices deployment,2023,3,1,Iterative
v2.0,32,Male,B.Sc,9.0,Senior,Enterprise,Remote,8,1,1,4,145705,59,2023-09-15,Experience in data cleaning and ETL,2023,9,15,Iterative
v2.0,32,Female,B.Sc,10.0,Junior,SME,Remote,4,0,0,4,131482,58,2024-07-30,No relevant project mentioned,2024,7,30,Iterative
v2.0,32,Female,PhD,10.0,Senior,Enterprise,Tier-1,5,0,1,7,211557,54,2023-04-24,No relevant project mentioned,2023,4,24,Iterative
v2.0,26,Male,B.Sc,3.73,Mid,SME,Tier-3,6,1,1,6,48371,48,2023-12-15,Built ML pipeline for preprocessing,2023,12,15,Iterative
v2.0,31,Female,B.Sc,11.0,Lead,SME,Tier-1,4,2,0,1,172151,57,2024-02-02,Contributed to open-source NLP repo,2024,2,2,Iterative
v2.0,32,Male,M.Sc,10.0,Junior,Enterprise,Tier-1,5,0,0,0,154266,65,2024-11-04,Contributed to open-source NLP repo,2024,11,4,Iterative
v2.0,26,Male,M.Sc,1.0,Junior,Startup,Tier-2,5,0,1,1,51174,50,2024-04-14,Built ML pipeline for preprocessing,2024,4,14,Iterative
v2.0,41,Female,B.Sc,19.0,Senior,Enterprise,Tier-2,5,1,0,2,199298,76,2024-11-06,Experience in data cleaning and ETL,2024,11,6,Iterative
v2.0,33,Female,B.Sc,8.0,Senior,Enterprise,Tier-2,5,2,1,2,126726,64,2023-01-15,Worked on microservices deployment,2023,1,15,Iterative
v2.0,23,Male,M.Sc,0.0,Mid,Enterprise,Tier-2,4,0,1,3,72002,58,2024-07-02,No relevant project mentioned,2024,7,2,Iterative
v2.0,34,Male,B.Sc,9.0,Mid,SME,Tier-2,5,1,1,4,110156,69,2023-05-18,Contributed to open-source NLP repo,2023,5,18,Iterative
v2.0,24,Male,M.Eng,3.0,Senior,Startup,Tier-3,2,0,1,1,70835,56,2023-09-22,No relevant project mentioned,2023,9,22,Iterative
v2.0,35,Male,M.Sc,12.0,Junior,SME,Tier-3,5,0,1,0,125763,62,2024-07-11,Built ML pipeline for preprocessing,2024,7,11,Iterative
v2.0,37,Female,B.Sc,15.0,Mid,Enterprise,Tier-2,4,2,1,0,185031,46,2024-09-09,Built ML pipeline for preprocessing,2024,9,9,Iterative
v2.0,25,Male,B.Sc,0.0,Senior,SME,Tier-1,9,1,0,2,56139,64,2023-03-22,Contributed to open-source NLP repo,2023,3,22,Iterative
v2.0,36,Male,B.Sc,13.18,Mid,SME,Tier-2,2,1,0,4,142638,59,2023-10-30,Worked on microservices deployment,2023,10,30,Iterative
v2.0,32,Male,M.Sc,9.06,Junior,SME,Tier-3,7,1,1,5,106529,62,2023-10-01,Experience in data cleaning and ETL,2023,10,1,Iterative
v2.0,35,Male,B.Sc,11.92,Senior,SME,Tier-2,5,1,1,2,167026,61,2023-04-23,Experience in data cleaning and ETL,2023,4,23,Iterative
v2.0,41,Male,B.Sc,17.0,Junior,Startup,Tier-2,4,1,0,6,153838,69,2024-02-13,Built ML pipeline for preprocessing,2024,2,13,Iterative
v2.0,29,Male,M.Sc,6.0,Junior,SME,Tier-1,7,0,0,0,71711,43,2024-12-20,Built ML pipeline for preprocessing,2024,12,20,Iterative
v2.0,25,Female,PhD,2.0,Lead,Enterprise,Tier-2,6,0,0,2,131807,54,2023-12-31,Built ML pipeline for preprocessing,2023,12,31,Iterative
v2.0,25,Female,B.Sc,2.0,Mid,Startup,Tier-1,5,2,1,0,68810,65,2023-08-29,Built ML pipeline for preprocessing,2023,8,29,Iterative
v2.0,25,Male,B.Sc,0.0,Senior,Enterprise,Remote,4,2,0,0,78770,54,2023-03-30,Experience in data cleaning and ETL,2023,3,30,Iterative
v2.0,30,Female,B.Sc,7.0,Senior,SME,Tier-2,5,2,1,6,118033,69,2024-11-25,Built ML pipeline for preprocessing,2024,11,25,Iterative
