age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note,survey_year,survey_month,role_seniority_encoded
32.0,Male,B.Sc+Cert,10.0,Senior,Startup,Remote,5.0,0.0,1.0,1.0,122308.0,73.0,2023-07-26,Built ML pipeline for preprocessing,2023.0,7.0,2.0
25.0,Male,B.Sc,9.0,Junior,Enterprise,Remote,2.0,0.6,1.0,4.0,110475.0,51.0,2023-04-27,No relevant project mentioned,2023.0,4.0,0.0
22.0,Male,B.Sc,0.0,Junior,Enterprise,Tier-1,3.0,1.0,1.0,1.0,59600.0,57.0,2023-01-05,Worked on microservices deployment,2023.0,1.0,0.0
39.0,Female,B.Sc,21.0,Mid,SME,Tier-3,4.0,1.8,0.0,3.0,201222.0,59.0,2024-05-13,Built ML pipeline for preprocessing,2024.0,5.0,1.0
29.0,Female,B.Sc+Cert,7.0,Junior,SME,Tier-3,6.0,0.0,1.0,0.0,89231.0,60.8,2024-09-17,Built ML pipeline for preprocessing,2024.0,9.0,0.0
30.0,Male,B.Sc,8.0,Mid,Enterprise,Tier-3,6.0,1.0,1.0,0.0,111120.0,62.8,2023-10-28,Built ML pipeline for preprocessing,2023.0,10.0,1.0
21.0,Female,M.Sc,0.0,Senior,Startup,Tier-2,5.0,0.0,1.0,1.0,60792.0,53.0,2024-02-29,Worked on microservices deployment,2024.0,2.0,2.0
27.0,Male,B.Sc,10.0,Mid,Enterprise,Tier-1,6.0,2.0,0.0,2.0,138325.0,71.0,2023-03-31,Experience in data cleaning and ETL,2023.0,3.0,1.0
31.0,Male,M.Sc,7.0,Senior,Startup,Tier-3,4.0,0.0,0.0,1.0,101384.0,62.0,2023-01-28,Contributed to open-source NLP repo,2023.0,1.0,2.0
23.0,Male,M.Sc,0.0,Senior,SME,Tier-1,9.0,1.0,0.0,3.0,72060.0,51.0,2024-06-27,Experience in data cleaning and ETL,2024.0,6.0,2.0
32.0,Male,B.Sc,11.0,Junior,SME,Tier-1,4.0,0.0,1.0,2.0,112714.0,57.0,2023-08-05,No relevant project mentioned,2023.0,8.0,0.0
26.0,Female,B.Sc,4.0,Mid,Enterprise,Tier-2,6.0,0.0,0.0,6.0,80467.0,77.0,2023-03-12,Worked on microservices deployment,2023.0,3.0,1.0
28.0,Male,B.Sc,4.0,Mid,Startup,Remote,7.0,0.0,0.0,0.0,66454.0,74.0,2023-01-30,Built ML pipeline for preprocessing,2023.0,1.0,1.0
26.0,Male,B.Sc,6.0,Mid,Startup,Tier-1,4.0,1.0,1.0,2.2,250336.0,60.0,2023-09-13,Built ML pipeline for preprocessing,2023.0,9.0,1.0
41.0,Male,M.Sc,19.0,Junior,SME,Tier-2,1.0,2.0,0.0,5.0,175155.0,57.0,2024-11-01,No relevant project mentioned,2024.0,11.0,0.0
30.0,Male,B.Sc+Cert,9.4,Lead,SME,Tier-1,4.0,0.0,1.0,3.0,143629.0,51.0,2024-01-31,Contributed to open-source NLP repo,2024.0,1.0,3.0
24.0,Female,B.Sc,2.0,Mid,SME,Remote,4.0,2.0,0.0,3.0,67896.0,72.0,2024-06-04,Built ML pipeline for preprocessing,2024.0,6.0,1.0
35.0,Male,M.Sc,11.4,Mid,SME,Tier-2,5.6,1.0,1.0,0.0,125584.0,59.8,2023-11-19,Experience in data cleaning and ETL,2023.0,11.0,1.0
23.0,Male,M.Sc,0.0,Mid,SME,Tier-1,4.0,0.0,0.0,6.0,58900.0,64.0,2024-01-05,Built ML pipeline for preprocessing,2024.0,1.0,1.0
31.0,Male,M.Sc,10.0,Mid,Startup,Tier-1,1.0,1.0,0.0,4.0,126449.0,69.0,2023-06-05,No relevant project mentioned,2023.0,6.0,1.0
20.0,Male,B.Sc+Cert,0.0,Senior,Startup,Tier-2,3.0,1.0,0.0,3.0,48515.0,63.0,2023-08-02,Built ML pipeline for preprocessing,2023.0,8.0,2.0
22.0,Male,B.Sc,0.0,Mid,SME,Tier-1,12.0,1.0,1.0,5.0,67152.0,47.0,2024-10-27,Built ML pipeline for preprocessing,2024.0,10.0,1.0
31.0,Male,B.Sc,11.2,Junior,SME,Tier-1,5.2,0.0,0.0,2.0,146464.0,67.0,2023-03-24,No relevant project mentioned,2023.0,3.0,0.0
34.0,Male,M.Sc,11.0,Junior,Startup,Tier-2,3.0,1.0,0.0,1.0,130072.0,62.0,2024-02-09,Contributed to open-source NLP repo,2024.0,2.0,0.0
31.0,Female,M.Sc,9.0,Senior,Startup,Tier-2,5.0,1.0,1.0,2.0,138837.0,62.0,2024-09-04,Contributed to open-source NLP repo,2024.0,9.0,2.0
29.0,Female,M.Sc,9.0,Mid,SME,Tier-3,4.0,0.0,0.0,4.0,116410.0,47.0,2023-01-10,Experience in data cleaning and ETL,2023.0,1.0,1.0
28.0,Female,B.Sc,4.0,Lead,Startup,Tier-1,6.0,1.0,1.0,3.0,106823.0,66.0,2023-10-07,Worked on microservices deployment,2023.0,10.0,3.0
21.0,Male,B.Sc,0.0,Junior,SME,Tier-2,5.0,1.0,1.0,2.0,36290.0,54.0,2023-10-08,Worked on microservices deployment,2023.0,10.0,0.0
26.0,Male,B.Sc,6.0,Junior,SME,Tier-2,3.0,3.0,0.0,0.0,87350.0,54.0,2024-11-22,Contributed to open-source NLP repo,2024.0,11.0,0.0
27.0,Male,B.Sc,7.0,Junior,Startup,Tier-1,8.0,1.0,1.0,4.0,96735.0,54.8,2023-03-31,Contributed to open-source NLP repo,2023.0,3.0,0.0
36.0,Female,M.Sc,13.0,Mid,Startup,Tier-2,5.0,0.0,0.0,2.0,155381.0,57.0,2023-05-09,Built ML pipeline for preprocessing,2023.0,5.0,1.0
32.0,Male,M.Sc,11.0,Mid,Enterprise,Tier-1,7.0,0.6,0.0,0.0,179168.0,66.0,2023-11-05,Experience in data cleaning and ETL,2023.0,11.0,1.0
20.0,Male,B.Sc,0.0,Junior,Enterprise,Tier-3,3.0,0.0,0.0,2.0,31751.0,75.0,2024-04-29,Contributed to open-source NLP repo,2024.0,4.0,0.0
32.0,Male,B.Sc,6.0,Mid,SME,Tier-2,10.0,0.0,1.0,7.0,92475.0,64.0,2023-04-17,Contributed to open-source NLP repo,2023.0,4.0,1.0
28.0,Male,B.Sc,0.0,Mid,SME,Tier-2,9.0,0.0,0.0,1.0,44801.0,60.8,2024-05-19,Built ML pipeline for preprocessing,2024.0,5.0,1.0
26.0,Male,B.Sc,1.0,Junior,Enterprise,Tier-1,7.0,0.0,0.0,0.0,63464.0,67.0,2023-10-10,Built ML pipeline for preprocessing,2023.0,10.0,0.0
34.0,Male,M.Sc,12.0,Mid,Enterprise,Tier-1,4.0,1.6,1.0,0.0,150913.0,48.0,2023-04-17,Experience in data cleaning and ETL,2023.0,4.0,1.0
36.0,Female,B.Sc,14.0,Mid,SME,Tier-2,3.2,0.0,0.0,0.0,154466.0,64.0,2023-06-04,Contributed to open-source NLP repo,2023.0,6.0,1.0
36.0,Male,B.Sc,13.0,Junior,Startup,Tier-2,4.0,0.0,1.0,0.0,143176.0,63.0,2023-08-20,No relevant project mentioned,2023.0,8.0,0.0
25.0,Male,M.Sc,2.0,Junior,SME,Tier-1,6.0,2.0,0.0,5.0,73344.0,41.0,2024-03-24,Built ML pipeline for preprocessing,2024.0,3.0,0.0
28.0,Male,B.Sc+Cert,6.0,Junior,SME,Tier-1,7.0,1.0,0.0,0.0,111147.0,62.8,2024-01-15,Worked on microservices deployment,2024.0,1.0,0.0
32.0,Male,M.Eng,10.0,Mid,SME,Tier-1,6.0,1.0,1.0,5.0,131675.0,54.6,2023-11-29,Built ML pipeline for preprocessing,2023.0,11.0,1.0
36.0,Male,B.Sc,11.0,Senior,SME,Tier-2,8.0,1.0,0.0,0.0,392397.0,66.0,2024-08-18,Built ML pipeline for preprocessing,2024.0,8.0,2.0
27.0,Female,B.Sc+Cert,6.0,Mid,Enterprise,Tier-1,3.0,0.0,1.0,5.0,116332.0,59.0,2023-03-17,Built ML pipeline for preprocessing,2023.0,3.0,1.0
29.0,Male,B.Sc,5.0,Junior,SME,Tier-2,4.0,0.0,1.0,1.0,79732.0,70.0,2023-09-18,Worked on microservices deployment,2023.0,9.0,0.0
23.0,Female,B.Sc,0.0,Senior,Startup,Tier-1,3.0,1.0,0.0,2.0,53444.0,66.0,2023-12-03,Built ML pipeline for preprocessing,2023.0,12.0,2.0
23.0,Male,B.Sc,3.0,Lead,Startup,Tier-2,7.0,0.0,0.0,0.0,89320.0,52.0,2023-08-18,Worked on microservices deployment,2023.0,8.0,3.0
35.0,Male,B.Sc,9.0,Mid,SME,Tier-1,6.0,0.0,0.0,1.0,117205.0,67.0,2023-08-09,Contributed to open-source NLP repo,2023.0,8.0,1.0
38.0,Female,B.Sc,16.0,Lead,Startup,Tier-2,7.0,1.0,1.0,0.0,185657.0,60.0,2024-11-23,Experience in data cleaning and ETL,2024.0,11.0,3.0
30.0,Male,B.Sc,11.0,Mid,SME,Tier-1,4.0,1.0,0.0,2.0,148203.0,68.0,2024-02-02,Built ML pipeline for preprocessing,2024.0,2.0,1.0
36.0,Male,B.Sc,14.0,Mid,SME,Tier-1,4.0,1.0,0.0,1.0,157882.0,72.0,2024-12-14,Worked on microservices deployment,2024.0,12.0,1.0
32.0,Male,M.Eng,7.0,Mid,SME,Tier-2,4.6,1.0,1.0,5.0,121826.0,59.0,2024-02-16,Contributed to open-source NLP repo,2024.0,2.0,1.0
26.0,Male,B.Sc+Cert,1.0,Mid,Enterprise,Tier-1,5.0,3.0,0.0,0.0,84510.0,75.0,2024-09-21,Contributed to open-source NLP repo,2024.0,9.0,1.0
32.0,Female,B.Sc,6.0,Junior,SME,Tier-1,3.0,2.0,0.0,1.0,86229.0,47.0,2024-09-20,Contributed to open-source NLP repo,2024.0,9.0,0.0
39.0,Male,B.Sc+Cert,20.0,Senior,Startup,Tier-3,4.0,0.0,1.0,0.0,206288.0,49.0,2024-02-05,Built ML pipeline for preprocessing,2024.0,2.0,2.0
30.0,Female,B.Sc+Cert,9.0,Senior,Startup,Remote,6.0,0.8,0.0,2.0,123057.0,50.0,2024-12-09,Experience in data cleaning and ETL,2024.0,12.0,2.0
39.0,Female,M.Sc,16.0,Mid,SME,Tier-1,10.0,0.0,0.0,0.0,182737.0,59.6,2024-12-06,Experience in data cleaning and ETL,2024.0,12.0,1.0
20.0,Male,B.Sc,0.0,Junior,Startup,Tier-3,5.0,3.0,0.0,0.0,29061.0,79.0,2024-05-12,Built ML pipeline for preprocessing,2024.0,5.0,0.0
35.0,Female,M.Sc,10.0,Junior,SME,Tier-2,2.0,0.0,1.0,3.0,118001.0,60.0,2024-09-07,Contributed to open-source NLP repo,2024.0,9.0,0.0
31.0,Male,B.Sc+Cert,6.0,Junior,Startup,Tier-1,7.0,1.0,0.0,0.0,89997.0,53.0,2023-06-23,Worked on microservices deployment,2023.0,6.0,0.0
28.0,Female,M.Sc,5.0,Junior,SME,Remote,3.0,0.6,0.0,3.0,85847.0,59.0,2023-10-28,Built ML pipeline for preprocessing,2023.0,10.0,0.0
31.0,Male,B.Sc,11.0,Mid,Enterprise,Tier-3,3.0,0.0,0.0,0.0,108911.0,62.0,2023-04-13,Built ML pipeline for preprocessing,2023.0,4.0,1.0
20.0,Male,B.Sc,1.0,Senior,Startup,Remote,6.0,1.0,1.0,2.0,67670.0,69.0,2024-06-04,Worked on microservices deployment,2024.0,6.0,2.0
29.0,Male,M.Sc,7.0,Junior,SME,Tier-1,6.0,0.0,0.0,7.0,92325.0,58.0,2023-06-13,No relevant project mentioned,2023.0,6.0,0.0
32.0,Male,B.Sc,10.0,Junior,SME,Tier-1,6.0,7.0,0.0,4.0,128716.0,53.0,2023-01-05,Experience in data cleaning and ETL,2023.0,1.0,0.0
39.0,Male,B.Sc,15.0,Mid,Enterprise,Tier-2,3.0,0.0,0.0,1.0,156630.0,57.2,2024-08-23,Experience in data cleaning and ETL,2024.0,8.0,1.0
27.0,Female,B.Sc,4.0,Junior,SME,Tier-2,7.0,0.0,0.0,5.0,67580.0,47.0,2023-06-27,No relevant project mentioned,2023.0,6.0,0.0
25.0,Male,M.Eng,2.0,Senior,SME,Tier-1,6.4,1.0,1.0,2.0,109316.0,61.0,2023-01-27,No relevant project mentioned,2023.0,1.0,2.0
27.0,Male,B.Sc+Cert,5.0,Junior,Enterprise,Remote,9.0,1.0,1.0,2.0,99750.0,49.0,2024-11-17,Contributed to open-source NLP repo,2024.0,11.0,0.0
35.0,Female,B.Sc,14.0,Junior,SME,Tier-2,6.0,0.0,0.0,2.0,151662.0,58.0,2023-06-10,Built ML pipeline for preprocessing,2023.0,6.0,0.0
32.0,Male,B.Sc+Cert,8.0,Junior,SME,Tier-2,3.0,0.0,0.0,1.0,104664.0,54.0,2023-04-25,Built ML pipeline for preprocessing,2023.0,4.0,0.0
27.0,Female,B.Sc,7.0,Junior,Startup,Tier-2,3.0,1.0,0.0,3.0,88771.0,77.0,2024-01-13,Worked on microservices deployment,2024.0,1.0,0.0
33.0,Female,M.Sc,10.0,Mid,Enterprise,Tier-2,4.0,0.0,0.0,3.0,141035.0,57.0,2023-04-07,Contributed to open-source NLP repo,2023.0,4.0,1.0
31.0,Female,M.Sc,4.0,Junior,Enterprise,Tier-1,8.0,1.0,1.0,2.0,108836.0,63.0,2024-11-08,Built ML pipeline for preprocessing,2024.0,11.0,0.0
36.0,Female,M.Eng,10.8,Mid,Enterprise,Remote,4.0,0.0,0.0,6.0,152156.0,55.0,2023-05-16,Contributed to open-source NLP repo,2023.0,5.0,1.0
26.0,Male,B.Sc+Cert,0.0,Mid,Enterprise,Tier-1,5.0,1.0,0.0,2.0,77212.0,61.0,2024-01-23,Built ML pipeline for preprocessing,2024.0,1.0,1.0
28.0,Male,B.Sc,4.0,Junior,Enterprise,Tier-1,10.0,0.0,0.0,2.0,81911.0,55.0,2023-06-13,Contributed to open-source NLP repo,2023.0,6.0,0.0
28.0,Female,B.Sc+Cert,3.0,Junior,SME,Remote,7.0,1.0,1.0,7.0,67754.0,64.0,2024-02-19,Worked on microservices deployment,2024.0,2.0,0.0
21.0,Male,B.Sc,0.0,Mid,Enterprise,Remote,5.0,0.0,1.0,0.0,49356.0,48.0,2024-12-14,Built ML pipeline for preprocessing,2024.0,12.0,1.0
32.0,Male,M.Sc,8.0,Mid,SME,Tier-3,5.0,2.0,0.0,0.0,104601.0,57.0,2024-11-11,Built ML pipeline for preprocessing,2024.0,11.0,1.0
32.0,Male,M.Sc,11.0,Senior,SME,Remote,3.0,2.0,0.0,0.0,158441.0,66.0,2023-05-16,Built ML pipeline for preprocessing,2023.0,5.0,2.0
30.0,Female,M.Sc,9.0,Junior,SME,Tier-2,6.0,2.0,1.0,7.0,117894.0,61.0,2023-06-07,Built ML pipeline for preprocessing,2023.0,6.0,0.0
29.0,Male,B.Sc,7.0,Junior,SME,Remote,4.0,1.0,0.0,3.0,105294.0,62.4,2024-02-02,Experience in data cleaning and ETL,2024.0,2.0,0.0
22.0,Male,B.Sc+Cert,2.0,Junior,Enterprise,Tier-1,4.8,2.0,0.0,1.0,74323.0,61.8,2024-01-01,Built ML pipeline for preprocessing,2024.0,1.0,0.0
27.0,Male,B.Sc,8.0,Mid,SME,Tier-3,1.0,3.0,1.0,0.0,109963.0,54.0,2023-10-29,Worked on microservices deployment,2023.0,10.0,1.0
28.0,Male,B.Sc,5.0,Mid,Startup,Tier-2,8.0,0.0,0.0,3.4,78201.0,55.0,2023-12-15,Worked on microservices deployment,2023.0,12.0,1.0
25.0,Male,M.Sc,3.0,Senior,Startup,Tier-1,1.0,1.0,0.0,0.0,84084.0,74.0,2024-01-29,No relevant project mentioned,2024.0,1.0,2.0
29.0,Male,B.Sc,5.0,Mid,Enterprise,Tier-2,4.0,2.0,1.0,5.0,111207.0,56.0,2023-11-20,Experience in data cleaning and ETL,2023.0,11.0,1.0
32.0,Male,M.Eng,8.0,Junior,SME,Tier-2,7.0,0.0,0.0,3.0,107168.0,62.0,2023-02-19,Contributed to open-source NLP repo,2023.0,2.0,0.0
41.0,Female,B.Sc,21.0,Mid,SME,Tier-2,7.0,1.0,1.0,6.0,226842.0,48.0,2023-11-20,Built ML pipeline for preprocessing,2023.0,11.0,1.0
31.0,Male,B.Sc,10.0,Senior,SME,Tier-1,7.0,1.0,0.0,1.0,128944.0,50.0,2024-05-28,Built ML pipeline for preprocessing,2024.0,5.0,2.0
32.0,Female,M.Eng,7.0,Junior,SME,Tier-3,2.0,0.0,1.0,2.0,82079.0,55.0,2024-04-07,No relevant project mentioned,2024.0,4.0,0.0
30.0,Female,B.Sc,3.0,Mid,Startup,Tier-1,7.0,1.0,0.0,2.4,79272.0,59.0,2023-03-16,Contributed to open-source NLP repo,2023.0,3.0,1.0
20.0,Male,B.Sc,0.0,Lead,SME,Tier-2,3.0,1.0,1.0,5.0,68987.0,45.0,2024-05-15,Worked on microservices deployment,2024.0,5.0,3.0
30.0,Male,M.Sc,8.0,Mid,Enterprise,Remote,6.0,3.0,0.0,7.0,138073.0,64.0,2024-12-27,Contributed to open-source NLP repo,2024.0,12.0,1.0
30.0,Male,B.Sc,6.0,Mid,SME,Tier-2,4.0,0.0,0.0,6.0,85805.0,49.0,2023-07-07,Built ML pipeline for preprocessing,2023.0,7.0,1.0
45.0,Female,M.Sc,22.0,Junior,SME,Tier-1,5.6,1.0,0.0,2.0,205524.0,57.0,2023-05-09,Experience in data cleaning and ETL,2023.0,5.0,0.0
29.0,Male,B.Sc,7.0,Mid,Startup,Tier-1,2.0,3.0,1.0,0.0,99141.0,53.0,2024-05-07,Built ML pipeline for preprocessing,2024.0,5.0,1.0
32.0,Male,M.Eng,10.0,Junior,SME,Tier-2,3.0,1.0,0.0,2.0,125369.0,47.0,2023-04-07,No relevant project mentioned,2023.0,4.0,0.0
30.0,Male,M.Eng,9.0,Mid,Startup,Remote,1.0,1.0,1.0,0.0,122521.0,49.0,2023-12-31,Built ML pipeline for preprocessing,2023.0,12.0,1.0
23.0,Male,M.Sc,0.0,Junior,SME,Remote,8.0,2.0,0.0,0.0,55768.0,59.6,2024-05-15,Built ML pipeline for preprocessing,2024.0,5.0,0.0
37.0,Male,B.Sc,7.6,Senior,SME,Tier-3,5.8,2.0,1.0,0.0,107524.0,65.0,2023-06-14,Experience in data cleaning and ETL,2023.0,6.0,2.0
35.0,Male,M.Eng,10.0,Senior,Enterprise,Tier-1,5.0,0.0,0.0,1.0,184933.0,53.8,2023-06-26,Built ML pipeline for preprocessing,2023.0,6.0,2.0
35.0,Female,B.Sc,10.0,Mid,SME,Tier-1,6.0,0.0,0.0,2.0,152967.0,53.0,2024-09-20,Contributed to open-source NLP repo,2024.0,9.0,1.0
25.0,Male,M.Sc,4.0,Junior,SME,Tier-1,1.0,0.0,0.0,1.0,63311.0,58.6,2024-12-22,Contributed to open-source NLP repo,2024.0,12.0,0.0
38.0,Male,B.Sc,13.0,Junior,SME,Tier-1,4.0,1.0,0.0,2.6,132455.0,74.0,2023-09-30,Experience in data cleaning and ETL,2023.0,9.0,0.0
22.0,Male,B.Sc+Cert,0.0,Senior,SME,Tier-1,4.6,1.0,0.0,0.0,58393.0,59.6,2023-11-23,Worked on microservices deployment,2023.0,11.0,2.0
34.0,Female,M.Sc,8.0,Mid,Startup,Tier-1,1.0,3.0,1.0,2.0,134124.0,62.0,2024-02-03,No relevant project mentioned,2024.0,2.0,1.0
43.0,Male,B.Sc,17.0,Mid,SME,Tier-2,5.0,0.0,0.0,3.0,177337.0,36.0,2024-07-16,Contributed to open-source NLP repo,2024.0,7.0,1.0
24.0,Female,B.Sc,0.0,Junior,Enterprise,Tier-1,1.0,0.0,1.0,0.0,46722.0,62.0,2024-02-15,Worked on microservices deployment,2024.0,2.0,0.0
27.0,Male,B.Sc,10.0,Mid,Startup,Tier-2,4.0,1.0,0.0,4.0,128993.0,53.6,2023-03-05,Built ML pipeline for preprocessing,2023.0,3.0,1.0
31.0,Male,B.Sc,7.0,Mid,SME,Remote,7.0,0.8,0.0,2.0,102483.0,56.0,2024-03-22,No relevant project mentioned,2024.0,3.0,1.0
27.0,Male,B.Sc+Cert,5.0,Mid,Enterprise,Tier-2,4.0,3.0,1.0,2.0,95740.0,53.0,2023-12-07,Worked on microservices deployment,2023.0,12.0,1.0
21.0,Male,M.Sc,0.0,Mid,SME,Tier-3,4.0,0.0,0.0,2.0,41870.0,56.0,2023-08-17,No relevant project mentioned,2023.0,8.0,1.0
30.0,Male,M.Sc,10.0,Senior,Enterprise,Tier-3,4.0,1.0,1.0,2.0,154614.0,57.0,2024-05-19,Worked on microservices deployment,2024.0,5.0,2.0
24.0,Male,B.Sc,3.0,Junior,SME,Tier-1,1.0,2.0,0.0,0.0,57119.0,57.0,2024-09-20,Contributed to open-source NLP repo,2024.0,9.0,0.0
33.0,Female,B.Sc,10.0,Junior,SME,Tier-1,6.0,1.0,0.0,3.0,138188.0,60.0,2023-09-07,Built ML pipeline for preprocessing,2023.0,9.0,0.0
24.0,Male,B.Sc+Cert,1.0,Mid,SME,Tier-1,6.0,3.0,0.0,1.4,55705.0,60.0,2023-03-11,No relevant project mentioned,2023.0,3.0,1.0
39.0,Male,B.Sc,18.0,Junior,Enterprise,Tier-1,4.0,1.0,0.0,0.0,197835.0,81.0,2024-05-26,Worked on microservices deployment,2024.0,5.0,0.0
25.0,Male,B.Sc,5.0,Senior,Enterprise,Tier-2,5.0,3.0,0.0,3.0,141658.0,57.0,2023-12-11,Contributed to open-source NLP repo,2023.0,12.0,2.0
28.0,Male,B.Sc,4.0,Mid,Startup,Remote,8.0,0.0,0.0,3.0,74818.0,49.0,2024-06-30,Built ML pipeline for preprocessing,2024.0,6.0,1.0
35.0,Male,B.Sc,11.0,Senior,SME,Remote,3.0,0.0,0.0,0.0,119158.0,63.0,2023-09-30,No relevant project mentioned,2023.0,9.0,2.0
23.0,Male,B.Sc,0.0,Mid,Startup,Tier-1,4.0,0.0,0.0,4.0,46100.0,63.4,2024-07-09,Worked on microservices deployment,2024.0,7.0,1.0
31.0,Male,B.Sc,8.0,Junior,Startup,Remote,2.0,1.0,1.0,1.0,92689.0,51.0,2023-12-11,Built ML pipeline for preprocessing,2023.0,12.0,0.0
38.0,Male,PhD,14.0,Junior,SME,Tier-1,3.0,1.0,0.0,0.0,182065.0,50.0,2024-04-04,Experience in data cleaning and ETL,2024.0,4.0,0.0
20.0,Male,B.Sc,0.0,Senior,SME,Tier-3,2.0,1.0,1.0,3.0,45599.0,50.0,2023-04-17,Built ML pipeline for preprocessing,2023.0,4.0,2.0
31.0,Male,B.Sc,6.6,Junior,Startup,Tier-1,6.0,1.0,0.0,2.0,101069.0,75.0,2024-05-02,No relevant project mentioned,2024.0,5.0,0.0
32.0,Male,B.Sc,9.0,Mid,Startup,Tier-1,5.0,0.6,1.0,0.0,99733.0,65.0,2023-02-13,Built ML pipeline for preprocessing,2023.0,2.0,1.0
35.0,Male,B.Sc,8.0,Senior,SME,Tier-1,2.0,0.0,0.0,5.0,127541.0,57.0,2024-05-16,No relevant project mentioned,2024.0,5.0,2.0
23.0,Female,B.Sc,0.0,Junior,Enterprise,Remote,1.0,1.0,0.0,5.0,43103.0,63.0,2024-02-29,No relevant project mentioned,2024.0,2.0,0.0
22.0,Male,B.Sc+Cert,1.0,Junior,Enterprise,Tier-1,4.0,3.0,0.0,4.0,56675.0,68.0,2023-02-18,Built ML pipeline for preprocessing,2023.0,2.0,0.0
33.0,Male,B.Sc,10.0,Mid,Startup,Tier-1,4.0,0.0,0.0,1.0,137437.0,79.0,2023-03-01,Worked on microservices deployment,2023.0,3.0,1.0
32.0,Male,B.Sc,9.0,Senior,Enterprise,Remote,8.0,1.0,1.0,4.0,145705.0,60.2,2023-09-15,Experience in data cleaning and ETL,2023.0,9.0,2.0
32.0,Female,B.Sc,10.0,Junior,SME,Remote,4.0,0.0,0.0,4.0,131482.0,58.0,2024-07-30,No relevant project mentioned,2024.0,7.0,0.0
32.0,Female,PhD,10.0,Senior,Enterprise,Tier-1,4.0,0.0,1.0,7.0,211557.0,54.0,2023-04-24,No relevant project mentioned,2023.0,4.0,2.0
26.0,Male,B.Sc,0.2,Mid,SME,Tier-3,6.0,1.0,1.0,6.0,48371.0,48.0,2023-12-15,Built ML pipeline for preprocessing,2023.0,12.0,1.0
31.0,Female,B.Sc,11.0,Lead,SME,Tier-1,4.0,2.0,0.0,1.0,172151.0,57.0,2024-02-02,Contributed to open-source NLP repo,2024.0,2.0,3.0
