age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note,survey_year,survey_month,role_seniority_encoded,survey_day,survey_quarter,survey_day_of_week,estimated_joining_date,joining_year,joining_month,joining_day,joining_quarter,joining_day_of_week,tenure_years,tenure_months,tenure_category
27,Male,B.Sc+Cert,7.0,Senior,SME,Tier-2,4.0,2.0,1,1.0,111207,65.0,2024-03-16,Worked on microservices deployment,2024,3,2,16,1,Saturday,2017-03-16 06:00:00,2017.0,3.0,16.0,1.0,Thursday,9.43,113,6-10 Years
27,Male,PhD,1.0,Junior,Startup,Tier-1,9.0,4.0,1,4.0,71583,,2023-09-29,Contributed to open-source NLP repo,2023,9,0,29,3,Friday,2022-09-28 18:00:00,2022.0,9.0,28.0,3.0,Wednesday,3.9,47,3-5 Years
31,Female,M.Sc,4.0,Senior,Enterprise,Tier-2,4.0,0.0,1,3.0,128319,76.0,2023-11-03,No relevant project mentioned,2023,11,2,3,4,Friday,2019-11-03 00:00:00,2019.0,11.0,3.0,4.0,Sunday,6.8,82,6-10 Years
20,Female,B.Sc,0.0,Mid,Startup,Tier-2,2.0,0.0,0,3.0,30883,43.0,2023-11-04,,2023,11,1,4,4,Saturday,2023-11-04 00:00:00,2023.0,11.0,4.0,4.0,Saturday,2.8,34,3-5 Years
20,Male,B.Sc+Cert,0.0,Mid,Startup,Tier-1,5.0,0.0,1,0.0,49709,60.0,2024-10-10,Built ML pipeline for preprocessing,2024,10,1,10,4,Thursday,2024-10-10 00:00:00,2024.0,10.0,10.0,4.0,Thursday,1.87,22,0-2 Years
27,Male,B.Sc,0.0,Junior,SME,Tier-1,5.0,0.0,1,,42206,58.0,2024-08-17,Experience in data cleaning and ETL,2024,8,0,17,3,Saturday,2024-08-17 00:00:00,2024.0,8.0,17.0,3.0,Saturday,2.02,24,3-5 Years
24,Male,,0.0,Junior,SME,Tier-2,6.0,4.0,0,6.0,42325,66.0,2024-07-09,Built ML pipeline for preprocessing,2024,7,0,9,3,Tuesday,2024-07-09 00:00:00,2024.0,7.0,9.0,3.0,Tuesday,2.12,25,3-5 Years
32,Male,B.Sc+Cert,10.0,Senior,Startup,Remote,5.0,0.0,1,1.0,122308,73.0,2023-07-26,Built ML pipeline for preprocessing,2023,7,2,26,3,Wednesday,2013-07-25 12:00:00,2013.0,7.0,25.0,3.0,Thursday,13.08,157,11-20 Years
25,Male,B.Sc,9.0,Junior,Enterprise,Remote,2.0,,1,4.0,110475,51.0,2023-04-27,No relevant project mentioned,2023,4,0,27,2,Thursday,2014-04-26 18:00:00,2014.0,4.0,26.0,2.0,Saturday,12.32,148,11-20 Years
22,Male,B.Sc,0.0,Junior,Enterprise,Tier-1,,1.0,1,1.0,59600,57.0,2023-01-05,Worked on microservices deployment,2023,1,0,5,1,Thursday,2023-01-05 00:00:00,2023.0,1.0,5.0,1.0,Thursday,3.63,44,3-5 Years
39,Female,B.Sc,21.0,Mid,SME,Tier-3,4.0,,0,3.0,201222,59.0,2024-05-13,Built ML pipeline for preprocessing,2024,5,1,13,2,Monday,2003-05-13 18:00:00,2003.0,5.0,13.0,2.0,Tuesday,23.28,279,20+ Years
29,Female,B.Sc+Cert,7.0,Junior,SME,Tier-3,6.0,0.0,1,0.0,89231,,2024-09-17,Built ML pipeline for preprocessing,2024,9,0,17,3,Tuesday,2017-09-17 06:00:00,2017.0,9.0,17.0,3.0,Sunday,8.93,107,6-10 Years
30,Male,B.Sc,8.0,Mid,Enterprise,Tier-3,6.0,1.0,1,0.0,111120,,2023-10-28,Built ML pipeline for preprocessing,2023,10,1,28,4,Saturday,2015-10-28 00:00:00,2015.0,10.0,28.0,4.0,Wednesday,10.82,130,11-20 Years
21,Female,M.Sc,0.0,Senior,Startup,Tier-2,5.0,0.0,1,1.0,60792,53.0,2024-02-29,Worked on microservices deployment,2024,2,2,29,1,Thursday,2024-02-29 00:00:00,2024.0,2.0,29.0,1.0,Thursday,2.48,30,3-5 Years
27,Male,B.Sc,10.0,Mid,Enterprise,Tier-1,6.0,2.0,0,2.0,138325,71.0,2023-03-31,Experience in data cleaning and ETL,2023,3,1,31,1,Friday,2013-03-30 12:00:00,2013.0,3.0,30.0,1.0,Saturday,13.4,161,11-20 Years
31,Male,M.Sc,7.0,Senior,Startup,Tier-3,4.0,0.0,0,1.0,101384,62.0,2023-01-28,Contributed to open-source NLP repo,2023,1,2,28,1,Saturday,2016-01-28 06:00:00,2016.0,1.0,28.0,1.0,Thursday,10.57,127,11-20 Years
23,Male,M.Sc,0.0,Senior,SME,Tier-1,9.0,1.0,0,3.0,72060,51.0,2024-06-27,Experience in data cleaning and ETL,2024,6,2,27,2,Thursday,2024-06-27 00:00:00,2024.0,6.0,27.0,2.0,Thursday,2.15,26,3-5 Years
32,Male,B.Sc,11.0,Junior,SME,Tier-1,4.0,0.0,1,2.0,112714,57.0,2023-08-05,No relevant project mentioned,2023,8,0,5,3,Saturday,2012-08-04 06:00:00,2012.0,8.0,4.0,3.0,Saturday,14.05,169,11-20 Years
26,Female,B.Sc,4.0,Mid,Enterprise,Tier-2,6.0,0.0,0,6.0,80467,77.0,2023-03-12,Worked on microservices deployment,2023,3,1,12,1,Sunday,2019-03-12 00:00:00,2019.0,3.0,12.0,1.0,Tuesday,7.45,89,6-10 Years
28,Male,B.Sc,4.0,Mid,Startup,Remote,7.0,0.0,0,0.0,66454,74.0,2023-01-30,Built ML pipeline for preprocessing,2023,1,1,30,1,Monday,2019-01-30 00:00:00,2019.0,1.0,30.0,1.0,Wednesday,7.56,91,6-10 Years
26,Male,,6.0,Mid,Startup,Tier-1,4.0,1.0,1,,250336,60.0,2023-09-13,,2023,9,1,13,3,Wednesday,2017-09-12 12:00:00,2017.0,9.0,12.0,3.0,Tuesday,8.94,107,6-10 Years
41,Male,M.Sc,19.0,Junior,SME,Tier-2,1.0,2.0,0,5.0,175155,57.0,2024-11-01,No relevant project mentioned,2024,11,0,1,4,Friday,2005-11-01 06:00:00,2005.0,11.0,1.0,4.0,Tuesday,20.8,250,20+ Years
30,Male,B.Sc+Cert,,Lead,SME,Tier-1,4.0,0.0,1,3.0,143629,51.0,2024-01-31,Contributed to open-source NLP repo,2024,1,3,31,1,Wednesday,,,,,,,,,
24,Female,B.Sc,2.0,Mid,SME,Remote,4.0,2.0,0,3.0,67896,72.0,2024-06-04,Built ML pipeline for preprocessing,2024,6,1,4,2,Tuesday,2022-06-04 12:00:00,2022.0,6.0,4.0,2.0,Saturday,4.22,51,3-5 Years
35,Male,M.Sc,,Mid,SME,Tier-2,,1.0,1,0.0,125584,,2023-11-19,Experience in data cleaning and ETL,2023,11,1,19,4,Sunday,,,,,,,,,
23,Male,M.Sc,0.0,Mid,SME,Tier-1,4.0,0.0,0,6.0,58900,64.0,2024-01-05,,2024,1,1,5,1,Friday,2024-01-05 00:00:00,2024.0,1.0,5.0,1.0,Friday,2.63,32,3-5 Years
31,Male,M.Sc,10.0,Mid,Startup,Tier-1,1.0,1.0,0,4.0,126449,69.0,2023-06-05,No relevant project mentioned,2023,6,1,5,2,Monday,2013-06-04 12:00:00,2013.0,6.0,4.0,2.0,Tuesday,13.22,159,11-20 Years
20,Male,B.Sc+Cert,0.0,Senior,Startup,Tier-2,3.0,1.0,0,3.0,48515,63.0,2023-08-02,Built ML pipeline for preprocessing,2023,8,2,2,3,Wednesday,2023-08-02 00:00:00,2023.0,8.0,2.0,3.0,Wednesday,3.06,37,3-5 Years
22,Male,B.Sc,0.0,Mid,SME,Tier-1,12.0,1.0,1,5.0,67152,47.0,2024-10-27,Built ML pipeline for preprocessing,2024,10,1,27,4,Sunday,2024-10-27 00:00:00,2024.0,10.0,27.0,4.0,Sunday,1.82,22,0-2 Years
31,Male,B.Sc,,Junior,SME,Tier-1,,0.0,0,2.0,146464,67.0,2023-03-24,No relevant project mentioned,2023,3,0,24,1,Friday,,,,,,,,,
34,Male,M.Sc,11.0,Junior,Startup,Tier-2,3.0,1.0,0,1.0,130072,62.0,2024-02-09,Contributed to open-source NLP repo,2024,2,0,9,1,Friday,2013-02-08 06:00:00,2013.0,2.0,8.0,1.0,Friday,13.53,162,11-20 Years
31,Female,M.Sc,9.0,Senior,Startup,Tier-2,5.0,1.0,1,2.0,138837,62.0,2024-09-04,Contributed to open-source NLP repo,2024,9,2,4,3,Wednesday,2015-09-04 18:00:00,2015.0,9.0,4.0,3.0,Friday,10.97,132,11-20 Years
29,Female,M.Sc,9.0,Mid,SME,Tier-3,4.0,0.0,0,4.0,116410,47.0,2023-01-10,Experience in data cleaning and ETL,2023,1,1,10,1,Tuesday,2014-01-09 18:00:00,2014.0,1.0,9.0,1.0,Thursday,12.62,151,11-20 Years
28,Female,B.Sc,4.0,Lead,Startup,Tier-1,6.0,1.0,1,3.0,106823,66.0,2023-10-07,Worked on microservices deployment,2023,10,3,7,4,Saturday,2019-10-07 00:00:00,2019.0,10.0,7.0,4.0,Monday,6.88,83,6-10 Years
21,Male,B.Sc,0.0,Junior,SME,Tier-2,5.0,1.0,1,2.0,36290,,2023-10-08,Worked on microservices deployment,2023,10,0,8,4,Sunday,2023-10-08 00:00:00,2023.0,10.0,8.0,4.0,Sunday,2.87,34,3-5 Years
26,Male,B.Sc,6.0,Junior,SME,Tier-2,3.0,3.0,0,0.0,87350,54.0,2024-11-22,Contributed to open-source NLP repo,2024,11,0,22,4,Friday,2018-11-22 12:00:00,2018.0,11.0,22.0,4.0,Thursday,7.75,93,6-10 Years
27,Male,B.Sc,7.0,Junior,Startup,Tier-1,8.0,1.0,1,4.0,96735,,2023-03-31,Contributed to open-source NLP repo,2023,3,0,31,1,Friday,2016-03-30 06:00:00,2016.0,3.0,30.0,1.0,Wednesday,10.4,125,11-20 Years
36,Female,M.Sc,13.0,Mid,Startup,Tier-2,5.0,0.0,0,2.0,155381,57.0,2023-05-09,Built ML pipeline for preprocessing,2023,5,1,9,2,Tuesday,2010-05-08 18:00:00,2010.0,5.0,8.0,2.0,Saturday,16.29,195,11-20 Years
32,Male,M.Sc,11.0,Mid,Enterprise,Tier-1,7.0,,0,0.0,179168,66.0,2023-11-05,Experience in data cleaning and ETL,2023,11,1,5,4,Sunday,2012-11-04 06:00:00,2012.0,11.0,4.0,4.0,Sunday,13.8,166,11-20 Years
20,Male,B.Sc,0.0,Junior,Enterprise,Tier-3,3.0,0.0,0,,31751,75.0,2024-04-29,Contributed to open-source NLP repo,2024,4,0,29,2,Monday,2024-04-29 00:00:00,2024.0,4.0,29.0,2.0,Monday,2.32,28,3-5 Years
32,Male,B.Sc,6.0,Mid,SME,Tier-2,10.0,0.0,1,7.0,92475,64.0,2023-04-17,Contributed to open-source NLP repo,2023,4,1,17,2,Monday,2017-04-16 12:00:00,2017.0,4.0,16.0,2.0,Sunday,9.35,112,6-10 Years
28,Male,B.Sc,0.0,Mid,SME,Tier-2,9.0,0.0,0,1.0,44801,,2024-05-19,Built ML pipeline for preprocessing,2024,5,1,19,2,Sunday,2024-05-19 00:00:00,2024.0,5.0,19.0,2.0,Sunday,2.26,27,3-5 Years
26,Male,B.Sc,1.0,Junior,Enterprise,Tier-1,7.0,0.0,0,0.0,63464,67.0,2023-10-10,Built ML pipeline for preprocessing,2023,10,0,10,4,Tuesday,2022-10-09 18:00:00,2022.0,10.0,9.0,4.0,Sunday,3.87,46,3-5 Years
34,Male,M.Sc,12.0,Mid,Enterprise,Tier-1,4.0,,1,0.0,150913,48.0,2023-04-17,Experience in data cleaning and ETL,2023,4,1,17,2,Monday,2011-04-17 00:00:00,2011.0,4.0,17.0,2.0,Sunday,15.35,184,11-20 Years
36,Female,,14.0,Mid,SME,Tier-2,,0.0,0,0.0,154466,64.0,2023-06-04,Contributed to open-source NLP repo,2023,6,1,4,2,Sunday,2009-06-03 12:00:00,2009.0,6.0,3.0,2.0,Wednesday,17.22,207,11-20 Years
36,Male,B.Sc,13.0,Junior,Startup,Tier-2,,0.0,1,0.0,143176,63.0,2023-08-20,No relevant project mentioned,2023,8,0,20,3,Sunday,2010-08-19 18:00:00,2010.0,8.0,19.0,3.0,Thursday,16.01,192,11-20 Years
25,Male,M.Sc,2.0,Junior,SME,Tier-1,6.0,2.0,0,5.0,73344,41.0,2024-03-24,Built ML pipeline for preprocessing,2024,3,0,24,1,Sunday,2022-03-24 12:00:00,2022.0,3.0,24.0,1.0,Thursday,4.41,53,3-5 Years
28,Male,B.Sc+Cert,6.0,Junior,SME,Tier-1,7.0,1.0,0,0.0,111147,,2024-01-15,Worked on microservices deployment,2024,1,0,15,1,Monday,2018-01-14 12:00:00,2018.0,1.0,14.0,1.0,Sunday,8.6,103,6-10 Years
32,Male,M.Eng,10.0,Mid,SME,Tier-1,6.0,1.0,1,5.0,131675,,2023-11-29,Built ML pipeline for preprocessing,2023,11,1,29,4,Wednesday,2013-11-28 12:00:00,2013.0,11.0,28.0,4.0,Thursday,12.73,153,11-20 Years
36,Male,B.Sc,11.0,Senior,SME,Tier-2,8.0,1.0,0,0.0,392397,66.0,2024-08-18,Built ML pipeline for preprocessing,2024,8,2,18,3,Sunday,2013-08-18 06:00:00,2013.0,8.0,18.0,3.0,Sunday,13.01,156,11-20 Years
27,Female,B.Sc+Cert,6.0,Mid,Enterprise,Tier-1,3.0,0.0,1,5.0,116332,59.0,2023-03-17,,2023,3,1,17,1,Friday,2017-03-16 12:00:00,2017.0,3.0,16.0,1.0,Thursday,9.43,113,6-10 Years
29,Male,B.Sc,5.0,Junior,SME,Tier-2,4.0,0.0,1,1.0,79732,70.0,2023-09-18,Worked on microservices deployment,2023,9,0,18,3,Monday,2018-09-17 18:00:00,2018.0,9.0,17.0,3.0,Monday,7.93,95,6-10 Years
23,Female,B.Sc,0.0,Senior,Startup,Tier-1,3.0,1.0,0,2.0,53444,66.0,2023-12-03,Built ML pipeline for preprocessing,2023,12,2,3,4,Sunday,2023-12-03 00:00:00,2023.0,12.0,3.0,4.0,Sunday,2.72,33,3-5 Years
23,Male,,3.0,Lead,Startup,Tier-2,7.0,0.0,0,0.0,89320,52.0,2023-08-18,Worked on microservices deployment,2023,8,3,18,3,Friday,2020-08-17 06:00:00,2020.0,8.0,17.0,3.0,Monday,6.01,72,6-10 Years
35,Male,B.Sc,9.0,Mid,SME,Tier-1,6.0,0.0,0,1.0,117205,67.0,2023-08-09,Contributed to open-source NLP repo,2023,8,1,9,3,Wednesday,2014-08-08 18:00:00,2014.0,8.0,8.0,3.0,Friday,12.04,144,11-20 Years
38,Female,B.Sc,16.0,Lead,Startup,Tier-2,7.0,1.0,1,0.0,185657,,2024-11-23,Experience in data cleaning and ETL,2024,11,3,23,4,Saturday,2008-11-23 00:00:00,2008.0,11.0,23.0,4.0,Sunday,17.75,213,11-20 Years
30,Male,B.Sc,11.0,Mid,SME,Tier-1,,1.0,0,2.0,148203,68.0,2024-02-02,Built ML pipeline for preprocessing,2024,2,1,2,1,Friday,2013-02-01 06:00:00,2013.0,2.0,1.0,1.0,Friday,13.55,163,11-20 Years
36,Male,,14.0,Mid,SME,Tier-1,4.0,1.0,0,1.0,157882,72.0,2024-12-14,Worked on microservices deployment,2024,12,1,14,4,Saturday,2010-12-14 12:00:00,2010.0,12.0,14.0,4.0,Tuesday,15.69,188,11-20 Years
32,Male,M.Eng,7.0,Mid,SME,Tier-2,,1.0,1,5.0,121826,59.0,2024-02-16,Contributed to open-source NLP repo,2024,2,1,16,1,Friday,2017-02-15 06:00:00,2017.0,2.0,15.0,1.0,Wednesday,9.51,114,6-10 Years
26,Male,B.Sc+Cert,1.0,Mid,Enterprise,Tier-1,5.0,3.0,0,0.0,84510,75.0,2024-09-21,Contributed to open-source NLP repo,2024,9,1,21,3,Saturday,2023-09-21 18:00:00,2023.0,9.0,21.0,3.0,Thursday,2.92,35,3-5 Years
32,Female,B.Sc,6.0,Junior,SME,Tier-1,3.0,2.0,0,1.0,86229,47.0,2024-09-20,Contributed to open-source NLP repo,2024,9,0,20,3,Friday,2018-09-20 12:00:00,2018.0,9.0,20.0,3.0,Thursday,7.92,95,6-10 Years
39,Male,B.Sc+Cert,20.0,Senior,Startup,Tier-3,4.0,0.0,1,0.0,206288,49.0,2024-02-05,Built ML pipeline for preprocessing,2024,2,2,5,1,Monday,2004-02-05 00:00:00,2004.0,2.0,5.0,1.0,Thursday,22.55,271,20+ Years
30,Female,B.Sc+Cert,9.0,Senior,Startup,Remote,6.0,,0,2.0,123057,50.0,2024-12-09,Experience in data cleaning and ETL,2024,12,2,9,4,Monday,2015-12-09 18:00:00,2015.0,12.0,9.0,4.0,Wednesday,10.7,128,11-20 Years
39,Female,M.Sc,16.0,Mid,SME,Tier-1,10.0,0.0,0,0.0,182737,,2024-12-06,Experience in data cleaning and ETL,2024,12,1,6,4,Friday,2008-12-06 00:00:00,2008.0,12.0,6.0,4.0,Saturday,17.71,213,11-20 Years
20,Male,B.Sc,,Junior,Startup,Tier-3,5.0,3.0,0,0.0,29061,79.0,2024-05-12,,2024,5,0,12,2,Sunday,,,,,,,,,
35,Female,M.Sc,10.0,Junior,SME,Tier-2,2.0,0.0,1,3.0,118001,60.0,2024-09-07,Contributed to open-source NLP repo,2024,9,0,7,3,Saturday,2014-09-07 12:00:00,2014.0,9.0,7.0,3.0,Sunday,11.96,144,11-20 Years
31,Male,B.Sc+Cert,6.0,Junior,Startup,Tier-1,7.0,1.0,0,0.0,89997,53.0,2023-06-23,Worked on microservices deployment,2023,6,0,23,2,Friday,2017-06-22 12:00:00,2017.0,6.0,22.0,2.0,Thursday,9.17,110,6-10 Years
28,Female,M.Sc,5.0,Junior,SME,Remote,3.0,,0,3.0,85847,59.0,2023-10-28,Built ML pipeline for preprocessing,2023,10,0,28,4,Saturday,2018-10-27 18:00:00,2018.0,10.0,27.0,4.0,Saturday,7.82,94,6-10 Years
31,Male,B.Sc,11.0,Mid,Enterprise,Tier-3,3.0,0.0,0,0.0,108911,,2023-04-13,Built ML pipeline for preprocessing,2023,4,1,13,2,Thursday,2012-04-12 06:00:00,2012.0,4.0,12.0,2.0,Thursday,14.36,172,11-20 Years
20,Male,B.Sc,1.0,Senior,Startup,Remote,6.0,1.0,1,2.0,67670,69.0,2024-06-04,Worked on microservices deployment,2024,6,2,4,2,Tuesday,2023-06-04 18:00:00,2023.0,6.0,4.0,2.0,Sunday,3.22,39,3-5 Years
29,Male,M.Sc,7.0,Junior,SME,Tier-1,6.0,0.0,0,7.0,92325,58.0,2023-06-13,No relevant project mentioned,2023,6,0,13,2,Tuesday,2016-06-12 06:00:00,2016.0,6.0,12.0,2.0,Sunday,10.19,122,11-20 Years
32,Male,B.Sc,,Junior,SME,Tier-1,6.0,7.0,0,,128716,53.0,2023-01-05,Experience in data cleaning and ETL,2023,1,0,5,1,Thursday,,,,,,,,,
39,Male,B.Sc,15.0,Mid,Enterprise,Tier-2,3.0,0.0,0,1.0,156630,,2024-08-23,Experience in data cleaning and ETL,2024,8,1,23,3,Friday,2009-08-23 06:00:00,2009.0,8.0,23.0,3.0,Sunday,17.0,204,11-20 Years
27,Female,B.Sc,4.0,Junior,SME,Tier-2,7.0,0.0,0,5.0,67580,47.0,2023-06-27,No relevant project mentioned,2023,6,0,27,2,Tuesday,2019-06-27 00:00:00,2019.0,6.0,27.0,2.0,Thursday,7.16,86,6-10 Years
25,Male,M.Eng,2.0,Senior,SME,Tier-1,,1.0,1,2.0,109316,61.0,2023-01-27,No relevant project mentioned,2023,1,2,27,1,Friday,2021-01-26 12:00:00,2021.0,1.0,26.0,1.0,Tuesday,5.57,67,6-10 Years
27,Male,B.Sc+Cert,5.0,Junior,Enterprise,Remote,9.0,1.0,1,2.0,99750,49.0,2024-11-17,Contributed to open-source NLP repo,2024,11,0,17,4,Sunday,2019-11-17 18:00:00,2019.0,11.0,17.0,4.0,Sunday,6.76,81,6-10 Years
35,Female,B.Sc,14.0,Junior,SME,Tier-2,6.0,0.0,0,2.0,151662,58.0,2023-06-10,,2023,6,0,10,2,Saturday,2009-06-09 12:00:00,2009.0,6.0,9.0,2.0,Tuesday,17.2,206,11-20 Years
32,Male,B.Sc+Cert,8.0,Junior,SME,Tier-2,3.0,0.0,0,1.0,104664,54.0,2023-04-25,,2023,4,0,25,2,Tuesday,2015-04-25 00:00:00,2015.0,4.0,25.0,2.0,Saturday,11.33,136,11-20 Years
27,Female,B.Sc,7.0,Junior,Startup,Tier-2,3.0,1.0,0,,88771,77.0,2024-01-13,Worked on microservices deployment,2024,1,0,13,1,Saturday,2017-01-12 06:00:00,2017.0,1.0,12.0,1.0,Thursday,9.61,115,6-10 Years
33,Female,M.Sc,10.0,Mid,Enterprise,Tier-2,4.0,0.0,0,3.0,141035,57.0,2023-04-07,Contributed to open-source NLP repo,2023,4,1,7,2,Friday,2013-04-06 12:00:00,2013.0,4.0,6.0,2.0,Saturday,13.38,161,11-20 Years
31,Female,M.Sc,4.0,Junior,Enterprise,Tier-1,8.0,1.0,1,2.0,108836,63.0,2024-11-08,,2024,11,0,8,4,Friday,2020-11-08 00:00:00,2020.0,11.0,8.0,4.0,Sunday,5.79,69,6-10 Years
36,Female,M.Eng,,Mid,Enterprise,Remote,4.0,0.0,0,6.0,152156,55.0,2023-05-16,Contributed to open-source NLP repo,2023,5,1,16,2,Tuesday,,,,,,,,,
26,Male,B.Sc+Cert,0.0,Mid,Enterprise,Tier-1,5.0,1.0,0,2.0,77212,61.0,2024-01-23,,2024,1,1,23,1,Tuesday,2024-01-23 00:00:00,2024.0,1.0,23.0,1.0,Tuesday,2.58,31,3-5 Years
28,Male,B.Sc,4.0,Junior,Enterprise,Tier-1,10.0,0.0,0,2.0,81911,55.0,2023-06-13,Contributed to open-source NLP repo,2023,6,0,13,2,Tuesday,2019-06-13 00:00:00,2019.0,6.0,13.0,2.0,Thursday,7.2,86,6-10 Years
28,Female,B.Sc+Cert,3.0,Junior,SME,Remote,7.0,1.0,1,7.0,67754,64.0,2024-02-19,Worked on microservices deployment,2024,2,0,19,1,Monday,2021-02-18 06:00:00,2021.0,2.0,18.0,1.0,Thursday,5.51,66,6-10 Years
21,Male,B.Sc,0.0,Mid,Enterprise,Remote,5.0,0.0,1,0.0,49356,48.0,2024-12-14,,2024,12,1,14,4,Saturday,2024-12-14 00:00:00,2024.0,12.0,14.0,4.0,Saturday,1.69,20,0-2 Years
32,Male,M.Sc,8.0,Mid,SME,Tier-3,5.0,2.0,0,0.0,104601,57.0,2024-11-11,Built ML pipeline for preprocessing,2024,11,1,11,4,Monday,2016-11-11 00:00:00,2016.0,11.0,11.0,4.0,Friday,9.78,117,6-10 Years
32,Male,M.Sc,11.0,Senior,SME,Remote,3.0,2.0,0,0.0,158441,66.0,2023-05-16,,2023,5,2,16,2,Tuesday,2012-05-15 06:00:00,2012.0,5.0,15.0,2.0,Tuesday,14.27,171,11-20 Years
30,Female,M.Sc,9.0,Junior,SME,Tier-2,6.0,2.0,1,7.0,117894,61.0,2023-06-07,,2023,6,0,7,2,Wednesday,2014-06-06 18:00:00,2014.0,6.0,6.0,2.0,Friday,12.21,147,11-20 Years
29,Male,B.Sc,7.0,Junior,SME,Remote,4.0,1.0,0,3.0,105294,,2024-02-02,Experience in data cleaning and ETL,2024,2,0,2,1,Friday,2017-02-01 06:00:00,2017.0,2.0,1.0,1.0,Wednesday,9.55,115,6-10 Years
22,Male,B.Sc+Cert,2.0,Junior,Enterprise,Tier-1,,2.0,0,1.0,74323,,2024-01-01,,2024,1,0,1,1,Monday,2021-12-31 12:00:00,2021.0,12.0,31.0,4.0,Friday,4.64,56,3-5 Years
27,Male,B.Sc,8.0,Mid,SME,Tier-3,1.0,3.0,1,0.0,109963,54.0,2023-10-29,Worked on microservices deployment,2023,10,1,29,4,Sunday,2015-10-29 00:00:00,2015.0,10.0,29.0,4.0,Thursday,10.82,130,11-20 Years
28,Male,B.Sc,5.0,Mid,Startup,Tier-2,8.0,0.0,0,,78201,55.0,2023-12-15,Worked on microservices deployment,2023,12,1,15,4,Friday,2018-12-14 18:00:00,2018.0,12.0,14.0,4.0,Friday,7.69,92,6-10 Years
25,Male,M.Sc,3.0,Senior,Startup,Tier-1,1.0,1.0,0,0.0,84084,74.0,2024-01-29,No relevant project mentioned,2024,1,2,29,1,Monday,2021-01-28 06:00:00,2021.0,1.0,28.0,1.0,Thursday,5.56,67,6-10 Years
29,Male,B.Sc,5.0,Mid,Enterprise,Tier-2,4.0,2.0,1,5.0,111207,56.0,2023-11-20,Experience in data cleaning and ETL,2023,11,1,20,4,Monday,2018-11-19 18:00:00,2018.0,11.0,19.0,4.0,Monday,7.76,93,6-10 Years
